"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Contested Possessions","Uncontested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Cameron Bruce",747,"ME","RI","1",8,2,5,13,1,3,0,1,0,3,0,4,1,2,0,8,6,0,1,1,0,0,0
"Scott Chisholm",480,"ME","RI","1",2,0,6,8,0,0,0,0,0,1,3,2,0,1,0,6,2,0,0,1,0,0,0
"James Cook",156,"ME","RI","1",5,5,0,5,2,2,0,0,0,0,0,1,0,1,0,3,2,3,4,1,0,0,0
"Jeff Farmer",703,"ME","RI","1",7,3,5,12,2,1,0,3,0,1,3,2,3,3,0,7,8,1,2,0,0,0,0
"Steven Febey",690,"ME","RI","1",17,3,3,20,2,1,0,0,4,4,0,1,2,0,0,4,15,0,0,0,0,0,0
"Brent Grgic",729,"ME","RI","1",4,1,1,5,1,0,0,0,0,3,0,1,0,0,0,1,3,0,0,0,0,0,0
"Anthony Ingerson",25,"ME","RI","1",9,4,1,10,0,0,1,0,4,1,0,1,3,0,0,4,1,3,0,2,0,0,0
"Travis Johnstone",732,"ME","RI","1",10,3,5,15,2,0,0,1,0,7,2,4,0,0,0,7,8,1,1,0,2,0,0
"Andrew Leoncelli",724,"ME","RI","1",7,1,5,12,0,0,1,2,3,3,1,1,1,3,0,5,7,0,0,1,0,0,0
"Anthony McDonald",727,"ME","RI","1",12,3,7,19,0,0,0,2,0,8,5,0,4,2,0,6,18,0,0,0,6,0,0
"James McDonald",730,"ME","RI","1",12,4,2,14,0,0,0,2,2,4,0,4,0,3,0,6,7,1,0,0,2,0,0
"David Neitz",689,"ME","RI","1",3,3,2,5,0,0,0,0,1,1,0,3,2,1,0,4,3,1,0,0,0,0,0
"Alistair Nicholson",728,"ME","RI","1",4,4,5,9,0,0,2,1,2,0,2,1,0,0,0,3,5,1,0,0,0,0,0
"Stephen Powell",456,"ME","RI","1",15,1,9,24,0,1,0,2,3,7,5,2,1,3,0,9,14,0,0,3,1,0,0
"Guy Rigoni",734,"ME","RI","1",14,3,6,20,0,0,0,1,1,4,3,3,1,1,0,7,13,0,0,1,1,0,0
"Russell Robertson",731,"ME","RI","1",6,2,1,7,1,0,0,0,0,3,1,0,0,1,0,5,2,0,1,0,1,0,0
"David Schwarz",713,"ME","RI","1",11,3,3,14,0,4,3,4,0,5,2,1,3,4,0,7,7,0,0,3,1,0,0
"Troy Simmonds",743,"ME","RI","1",3,1,3,6,0,0,2,0,2,0,1,0,0,2,0,4,2,0,0,0,0,0,0
"Peter Walsh",744,"ME","RI","1",3,1,5,8,0,0,0,1,2,1,0,2,0,4,0,4,5,0,0,0,0,0,0
"Jeff White",502,"ME","RI","1",9,6,8,17,0,0,24,5,1,2,3,2,5,2,0,10,6,3,0,2,0,0,0
"Shane Woewodin",725,"ME","RI","1",8,2,4,12,0,0,0,3,4,2,3,1,1,0,0,6,4,0,0,0,0,0,0
"Adem Yze",714,"ME","RI","1",14,4,3,17,2,0,0,0,2,2,3,3,0,3,0,7,7,0,1,2,2,0,0
"Joel Bowden",890,"RI","ME","1",9,2,6,15,1,1,0,0,1,4,1,3,1,2,0,6,9,1,0,2,0,0,0
"Leon Cameron",425,"RI","ME","1",14,1,3,17,0,0,0,1,9,0,1,0,2,0,0,3,11,0,0,1,4,0,0
"Wayne Campbell",869,"RI","ME","1",22,7,7,29,0,0,0,1,6,4,3,2,3,3,0,9,19,0,0,0,0,0,0
"Nick Daffy",873,"RI","ME","1",19,3,5,24,0,0,0,4,2,7,10,3,2,1,0,11,11,0,0,0,2,0,0
"Marc Dragicevic",903,"RI","ME","1",5,1,1,6,2,0,0,1,0,2,0,1,2,0,0,4,2,1,1,0,0,0,0
"Brendon Gale",868,"RI","ME","1",8,4,3,11,0,0,22,3,1,2,2,0,2,2,2,5,6,1,0,4,0,0,0
"Darren Gaspar",886,"RI","ME","1",14,7,5,19,0,0,1,1,6,2,0,2,2,4,1,11,10,0,0,2,0,0,0
"Ben Harrison",163,"RI","ME","1",8,2,2,10,0,1,0,1,1,2,0,1,2,0,0,5,3,0,0,0,2,0,0
"Ben Holland",913,"RI","ME","1",11,5,3,14,3,1,1,3,0,3,1,1,3,1,0,10,3,3,1,3,1,0,0
"Aaron James",237,"RI","ME","1",3,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,1,0,0,0
"Andrew Kellaway",899,"RI","ME","1",7,4,3,10,0,0,0,2,2,0,1,3,2,3,0,5,5,1,0,1,0,0,0
"Duncan Kellaway",861,"RI","ME","1",10,3,9,19,1,0,0,5,1,2,8,1,1,1,0,9,10,0,0,3,0,0,0
"Clinton King",269,"RI","ME","1",7,1,4,11,0,0,0,4,1,3,1,0,2,0,0,4,7,0,0,0,0,0,0
"Matthew Knights",865,"RI","ME","1",15,3,8,23,1,0,0,2,0,3,6,3,3,2,3,10,11,0,0,1,0,0,0
"Mark Merenda",866,"RI","ME","1",2,0,0,2,0,1,0,2,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0
