is_grand_final,hteamid,updated,timestr,complete,tz,unixtime,hgoals,winner,ascore,abehinds,ateam,is_final,date,winnerteamid,hbehinds,hteam,venue,hscore,agoals,round,ateamid,id,roundname,localtime,year
0,1,2022-11-10 21:19:16,,100,+11:00,828254400,20,Adelaide,40,4,Sydney,0,1996-03-31 17:40:00,1.0,10,Adelaide,Football Park,130,6,1,16,22179,Round 1,1996-03-31 16:10:00,1996
0,2,2022-11-10 21:19:16,,100,+11:00,828175200,21,Brisbane Lions,54,12,Western Bulldogs,0,1996-03-30 19:40:00,2.0,15,Brisbane Lions,Gabba,141,7,1,18,22176,Round 1,1996-03-30 18:40:00,1996
0,3,2022-11-10 21:19:16,,100,+11:00,828241800,16,Carlton,87,15,Collingwood,0,1996-03-31 14:10:00,3.0,13,Carlton,M.C.G.,109,12,1,4,22177,Round 1,1996-03-31 13:10:00,1996
0,6,2022-11-10 21:19:16,,100,+11:00,828241800,6,West Coast,67,13,West Coast,0,1996-03-31 14:10:00,17.0,9,Fremantle,Subiaco,45,9,1,17,22178,Round 1,1996-03-31 11:10:00,1996
0,11,2022-11-10 21:19:16,,100,+11:00,828090600,8,Geelong,183,21,Geelong,0,1996-03-29 20:10:00,7.0,8,Melbourne,M.C.G.,56,27,1,7,22172,Round 1,1996-03-29 20:10:00,1996
0,14,2022-11-10 21:19:16,,100,+11:00,828155400,15,Essendon,122,8,Essendon,0,1996-03-30 14:10:00,5.0,14,Richmond,M.C.G.,104,19,1,5,22173,Round 1,1996-03-30 14:10:00,1996
0,15,2022-11-10 21:19:16,,100,+11:00,828155400,12,North Melbourne,109,19,North Melbourne,0,1996-03-30 14:10:00,12.0,13,St Kilda,Waverley Park,85,15,1,12,22175,Round 1,1996-03-30 14:10:00,1996
0,19,2022-11-10 21:19:16,,100,+11:00,828155400,11,Hawthorn,92,14,Hawthorn,0,1996-03-30 14:10:00,10.0,5,Fitzroy,Western Oval,71,13,1,10,22174,Round 1,1996-03-30 14:10:00,1996
0,4,2022-11-10 21:19:16,,100,+11:00,828933000,27,Collingwood,79,13,Melbourne,0,1996-04-08 14:10:00,4.0,11,Collingwood,M.C.G.,173,11,2,11,22133,Round 2,1996-04-08 13:10:00,1996
0,5,2022-11-10 21:19:16,,100,+11:00,828846600,10,Carlton,101,11,Carlton,0,1996-04-07 14:10:00,3.0,12,Essendon,M.C.G.,72,15,2,3,22131,Round 2,1996-04-07 13:10:00,1996
0,7,2022-11-10 21:19:16,,100,+11:00,828760200,26,Geelong,134,14,St Kilda,0,1996-04-06 14:10:00,7.0,8,Geelong,Kardinia Park,164,20,2,15,22128,Round 2,1996-04-06 13:10:00,1996
0,10,2022-11-10 21:19:16,,100,+11:00,828760200,6,Richmond,98,14,Richmond,0,1996-04-06 14:10:00,14.0,15,Hawthorn,Waverley Park,51,14,2,14,22129,Round 2,1996-04-06 13:10:00,1996
0,12,2022-11-10 21:19:16,,100,+11:00,828760200,26,North Melbourne,37,7,Western Bulldogs,0,1996-04-06 14:10:00,12.0,12,North Melbourne,M.C.G.,168,5,2,18,22127,Round 2,1996-04-06 13:10:00,1996
0,16,2022-11-10 21:19:16,,100,+11:00,828846600,9,Fremantle,100,22,Fremantle,0,1996-04-07 14:10:00,6.0,17,Sydney,S.C.G.,71,13,2,6,22132,Round 2,1996-04-07 13:10:00,1996
0,17,2022-11-10 21:19:16,,100,+11:00,828783600,11,Brisbane Lions,103,7,Brisbane Lions,0,1996-04-06 20:40:00,2.0,11,West Coast,W.A.C.A.,77,16,2,2,22130,Round 2,1996-04-06 17:40:00,1996
0,19,2022-11-10 21:19:16,,100,+11:00,828760200,15,Adelaide,133,7,Adelaide,0,1996-04-06 14:10:00,1.0,11,Fitzroy,Western Oval,101,21,2,1,22126,Round 2,1996-04-06 13:10:00,1996
0,1,2022-11-10 21:19:17,,100,+11:00,829302000,21,Adelaide,78,6,Geelong,0,1996-04-12 20:40:00,1.0,16,Adelaide,Football Park,142,12,3,7,22271,Round 3,1996-04-12 19:10:00,1996
0,2,2022-11-10 21:19:17,,100,+11:00,829384800,13,Richmond,108,18,Richmond,0,1996-04-13 19:40:00,14.0,12,Brisbane Lions,Gabba,90,15,3,14,22274,Round 3,1996-04-13 18:40:00,1996
0,5,2022-11-10 21:19:17,,100,+11:00,829451400,16,Essendon,50,14,West Coast,0,1996-04-14 14:10:00,5.0,13,Essendon,Waverley Park,109,6,3,17,22276,Round 3,1996-04-14 13:10:00,1996
0,6,2022-11-10 21:19:17,,100,+11:00,829458600,15,Fremantle,49,13,Carlton,0,1996-04-14 16:10:00,6.0,12,Fremantle,Subiaco,102,6,3,3,22278,Round 3,1996-04-14 13:10:00,1996
0,10,2022-11-10 21:19:17,,100,+11:00,829365000,12,North Melbourne,153,21,North Melbourne,0,1996-04-13 14:10:00,12.0,8,Hawthorn,Waverley Park,80,22,3,12,22273,Round 3,1996-04-13 13:10:00,1996
0,11,2022-11-10 21:19:17,,100,+11:00,829451400,14,Melbourne,88,10,St Kilda,0,1996-04-14 14:10:00,11.0,14,Melbourne,Princes Park,98,13,3,15,22277,Round 3,1996-04-14 13:10:00,1996
0,16,2022-11-10 21:19:17,,100,+11:00,829447800,15,Sydney,73,13,Collingwood,0,1996-04-14 13:10:00,16.0,17,Sydney,S.C.G.,107,10,3,4,22275,Round 3,1996-04-14 12:10:00,1996
0,18,2022-11-10 21:19:17,,100,+11:00,829365000,17,Western Bulldogs,70,10,Fitzroy,0,1996-04-13 14:10:00,18.0,19,Western Bulldogs,Western Oval,121,10,3,19,22272,Round 3,1996-04-13 13:10:00,1996
0,1,2022-11-10 21:19:16,,100,+11:00,829993200,23,Adelaide,65,11,Essendon,0,1996-04-20 20:40:00,1.0,23,Adelaide,Football Park,161,9,4,5,22185,Round 4,1996-04-20 19:10:00,1996
0,2,2022-11-10 21:19:16,,100,+11:00,829903200,18,Brisbane Lions,95,11,North Melbourne,0,1996-04-19 19:40:00,2.0,17,Brisbane Lions,Gabba,125,14,4,12,22180,Round 4,1996-04-19 18:40:00,1996
0,3,2022-11-10 21:19:16,,100,+11:00,829969800,21,Carlton,86,14,Melbourne,0,1996-04-20 14:10:00,3.0,7,Carlton,Princes Park,133,12,4,11,22181,Round 4,1996-04-20 13:10:00,1996
0,4,2022-11-10 21:19:16,,100,+11:00,829969800,14,Collingwood,61,13,Fremantle,0,1996-04-20 14:10:00,4.0,14,Collingwood,Victoria Park,98,8,4,6,22182,Round 4,1996-04-20 13:10:00,1996
