year,localtime,roundname,id,ateamid,hteam,hbehinds,venue,winnerteamid,round,agoals,hscore,is_final,date,ascore,hgoals,winner,ateam,abehinds,unixtime,complete,timestr,tz,is_grand_final,updated,hteamid
1997,1997-03-30 12:40:00,Round 1,22063,2,Adelaide,12,Football Park,1.0,1,14,132,0,1997-03-30 14:10:00,96,20,Adelaide,Brisbane Lions,12,859691400,100,,+11:00,0,2022-11-10 21:19:14,1
1997,1997-03-29 14:10:00,Round 1,22058,13,Collingwood,10,M.C.G.,4.0,1,13,166,0,1997-03-29 14:10:00,87,26,Collingwood,Port Adelaide,9,859605000,100,,+11:00,0,2022-11-10 21:19:14,4
1997,1997-03-31 13:10:00,Round 1,22064,3,Essendon,10,M.C.G.,5.0,1,15,106,0,1997-03-31 14:10:00,99,16,Essendon,Carlton,9,859777800,100,,+11:00,0,2022-11-10 21:19:14,5
1997,1997-03-27 19:40:00,Round 1,22057,11,North Melbourne,13,M.C.G.,11.0,1,10,55,0,1997-03-27 19:40:00,70,7,Melbourne,Melbourne,10,859452000,100,,+11:00,0,2022-11-10 21:19:14,12
1997,1997-03-30 13:10:00,Round 1,22062,7,Richmond,14,M.C.G.,14.0,1,13,104,0,1997-03-30 14:10:00,95,15,Richmond,Geelong,17,859691400,100,,+11:00,0,2022-11-10 21:19:14,14
1997,1997-03-29 19:40:00,Round 1,22060,10,St Kilda,11,Waverley Park,10.0,1,11,71,0,1997-03-29 19:40:00,77,10,Hawthorn,Hawthorn,11,859624800,100,,+11:00,0,2022-11-10 21:19:14,15
1997,1997-03-29 17:40:00,Round 1,22061,16,West Coast,6,Subiaco,17.0,1,5,78,0,1997-03-29 20:40:00,37,12,West Coast,Sydney,7,859628400,100,,+11:00,0,2022-11-10 21:19:14,17
1997,1997-03-29 14:10:00,Round 1,22059,6,Western Bulldogs,10,Princes Park,6.0,1,10,76,0,1997-03-29 14:10:00,80,11,Fremantle,Fremantle,20,859605000,100,,+11:00,0,2022-11-10 21:19:14,18
1997,1997-04-06 13:45:00,Round 2,22090,15,Brisbane Lions,16,Gabba,2.0,2,7,154,0,1997-04-06 14:45:00,57,23,Brisbane Lions,St Kilda,15,860298300,100,,+11:00,0,2022-11-10 21:19:14,2
1997,1997-04-06 13:10:00,Round 2,22092,10,Fremantle,9,Subiaco,6.0,2,10,87,0,1997-04-06 16:10:00,73,13,Fremantle,Hawthorn,13,860303400,100,,+11:00,0,2022-11-10 21:19:14,6
1997,1997-04-05 13:10:00,Round 2,22089,17,Geelong,12,Kardinia Park,7.0,2,11,78,0,1997-04-05 14:10:00,72,11,Geelong,West Coast,6,860209800,100,,+11:00,0,2022-11-10 21:19:14,7
1997,1997-04-04 18:40:00,Round 2,22086,4,Melbourne,14,M.C.G.,4.0,2,24,56,0,1997-04-04 19:40:00,163,7,Collingwood,Collingwood,19,860143200,100,,+11:00,0,2022-11-10 21:19:14,11
1997,1997-04-07 18:40:00,Round 2,22093,3,North Melbourne,14,M.C.G.,12.0,2,8,86,0,1997-04-07 19:40:00,60,12,North Melbourne,Carlton,12,860402400,100,,+11:00,0,2022-11-10 21:19:14,12
1997,1997-04-06 13:40:00,Round 2,22091,5,Port Adelaide,12,Football Park,5.0,2,14,60,0,1997-04-06 15:10:00,93,8,Essendon,Essendon,9,860299800,100,,+11:00,0,2022-11-10 21:19:14,13
1997,1997-04-05 13:10:00,Round 2,22087,1,Richmond,14,M.C.G.,14.0,2,15,128,0,1997-04-05 14:10:00,100,19,Richmond,Adelaide,10,860209800,100,,+11:00,0,2022-11-10 21:19:14,14
1997,1997-04-05 13:10:00,Round 2,22088,16,Western Bulldogs,12,Princes Park,18.0,2,12,90,0,1997-04-05 14:10:00,83,13,Western Bulldogs,Sydney,11,860209800,100,,+11:00,0,2022-11-10 21:19:14,18
1997,1997-04-13 13:10:00,Round 3,22122,1,Carlton,18,Princes Park,3.0,3,12,108,0,1997-04-13 14:10:00,80,15,Carlton,Adelaide,8,860901000,100,,+11:00,0,2022-11-10 21:19:14,3
1997,1997-04-13 13:10:00,Round 3,22123,12,Essendon,14,M.C.G.,5.0,3,12,122,0,1997-04-13 14:10:00,80,18,Essendon,North Melbourne,8,860901000,100,,+11:00,0,2022-11-10 21:19:14,5
1997,1997-04-13 13:10:00,Round 3,22124,2,Hawthorn,15,Waverley Park,10.0,3,11,87,0,1997-04-13 14:10:00,75,12,Hawthorn,Brisbane Lions,9,860901000,100,,+11:00,0,2022-11-10 21:19:14,10
1997,1997-04-12 19:10:00,Round 3,22121,7,Port Adelaide,21,Football Park,13.0,3,14,129,0,1997-04-12 20:40:00,90,18,Port Adelaide,Geelong,6,860838000,100,,+11:00,0,2022-11-10 21:19:14,13
1997,1997-04-12 13:10:00,Round 3,22119,4,St Kilda,11,Waverley Park,15.0,3,17,125,0,1997-04-12 14:10:00,118,19,St Kilda,Collingwood,16,860814600,100,,+11:00,0,2022-11-10 21:19:14,15
1997,1997-04-11 18:40:00,Round 3,22118,11,Sydney,9,S.C.G.,16.0,3,14,99,0,1997-04-11 19:40:00,91,15,Sydney,Melbourne,7,860748000,100,,+11:00,0,2022-11-10 21:19:14,16
1997,1997-04-13 11:10:00,Round 3,22125,6,West Coast,15,Subiaco,17.0,3,9,111,0,1997-04-13 14:10:00,71,16,West Coast,Fremantle,17,860901000,100,,+11:00,0,2022-11-10 21:19:14,17
1997,1997-04-12 13:10:00,Round 3,22120,14,Western Bulldogs,9,M.C.G.,18.0,3,12,105,0,1997-04-12 14:10:00,86,16,Western Bulldogs,Richmond,14,860814600,100,,+11:00,0,2022-11-10 21:19:14,18
1997,1997-04-20 13:40:00,Round 4,22056,13,Adelaide,6,Football Park,13.0,4,11,72,0,1997-04-20 15:10:00,83,11,Port Adelaide,Port Adelaide,17,861509400,100,,+11:00,0,2022-11-10 21:19:14,1
1997,1997-04-20 13:45:00,Round 4,22055,12,Brisbane Lions,19,Gabba,2.0,4,12,109,0,1997-04-20 14:45:00,83,15,Brisbane Lions,North Melbourne,11,861507900,100,,+11:00,0,2022-11-10 21:19:14,2
1997,1997-04-19 13:10:00,Round 4,22050,3,Collingwood,12,M.C.G.,3.0,4,15,84,0,1997-04-19 14:10:00,101,12,Carlton,Carlton,11,861419400,100,,+11:00,0,2022-11-10 21:19:14,4
1997,1997-04-20 13:10:00,Round 4,22054,5,Geelong,19,M.C.G.,7.0,4,11,85,0,1997-04-20 14:10:00,78,11,Geelong,Essendon,12,861505800,100,,+11:00,0,2022-11-10 21:19:14,7
1997,1997-04-18 18:40:00,Round 4,22049,18,Melbourne,9,M.C.G.,18.0,4,13,87,0,1997-04-18 19:40:00,89,13,Western Bulldogs,Western Bulldogs,11,861352800,100,,+11:00,0,2022-11-10 21:19:14,11
1997,1997-04-19 13:10:00,Round 4,22051,6,Richmond,12,Princes Park,14.0,4,10,72,0,1997-04-19 14:10:00,67,10,Richmond,Fremantle,7,861419400,100,,+11:00,0,2022-11-10 21:19:14,14
1997,1997-04-19 18:40:00,Round 4,22052,16,St Kilda,9,Waverley Park,16.0,4,18,81,0,1997-04-19 19:40:00,127,12,Sydney,Sydney,19,861439200,100,,+11:00,0,2022-11-10 21:19:14,15
1997,1997-04-19 17:40:00,Round 4,22053,10,West Coast,10,Subiaco,17.0,4,13,112,0,1997-04-19 20:40:00,88,17,West Coast,Hawthorn,10,861442800,100,,+11:00,0,2022-11-10 21:19:14,17
1997,1997-04-27 13:10:00,Round 5,22030,7,Carlton,14,Princes Park,7.0,5,13,86,0,1997-04-27 14:10:00,94,12,Geelong,Geelong,16,862110600,100,,+11:00,0,2022-11-10 21:19:13,3
1997,1997-04-25 13:10:00,Round 5,22025,4,Essendon,10,M.C.G.,4.0,5,14,70,0,1997-04-25 14:10:00,99,10,Collingwood,Collingwood,15,861937800,100,,+11:00,0,2022-11-10 21:19:13,5
1997,1997-04-25 17:45:00,Round 5,22026,15,Fremantle,11,Subiaco,6.0,5,15,107,0,1997-04-25 20:45:00,101,16,Fremantle,St Kilda,11,861961500,100,,+11:00,0,2022-11-10 21:19:13,6
1997,1997-04-26 18:40:00,Round 5,22029,16,Hawthorn,9,Waverley Park,10.0,5,11,99,0,1997-04-26 19:40:00,74,15,Hawthorn,Sydney,8,862044000,100,,+11:00,0,2022-11-10 21:19:13,10
1997,1997-04-26 13:10:00,Round 5,22028,17,Melbourne,6,M.C.G.,17.0,5,19,78,0,1997-04-26 14:10:00,126,12,West Coast,West Coast,12,862024200,100,,+11:00,0,2022-11-10 21:19:13,11
1997,1997-04-27 13:10:00,Round 5,22031,14,North Melbourne,15,M.C.G.,12.0,5,7,141,0,1997-04-27 14:10:00,46,21,North Melbourne,Richmond,4,862110600,100,,+11:00,0,2022-11-10 21:19:13,12
1997,1997-04-27 12:40:00,Round 5,22032,2,Port Adelaide,13,Football Park,13.0,5,10,73,0,1997-04-27 14:10:00,71,10,Port Adelaide,Brisbane Lions,11,862110600,100,,+11:00,0,2022-11-10 21:19:13,13
1997,1997-04-26 13:10:00,Round 5,22027,1,Western Bulldogs,17,Princes Park,1.0,5,19,71,0,1997-04-26 14:10:00,121,9,Adelaide,Adelaide,7,862024200,100,,+11:00,0,2022-11-10 21:19:13,18
1997,1997-05-03 13:10:00,Round 6,21958,1,Collingwood,6,Victoria Park,4.0,6,11,84,0,1997-05-03 14:10:00,83,13,Collingwood,Adelaide,17,862629000,100,,+11:00,0,2022-11-10 21:19:13,4
1997,1997-05-03 13:10:00,Round 6,21959,2,Essendon,12,M.C.G.,5.0,6,9,102,0,1997-05-03 14:10:00,71,15,Essendon,Brisbane Lions,17,862629000,100,,+11:00,0,2022-11-10 21:19:13,5
1997,1997-05-03 13:10:00,Round 6,21960,6,Geelong,13,Kardinia Park,7.0,6,6,97,0,1997-05-03 14:10:00,43,14,Geelong,Fremantle,7,862629000,100,,+11:00,0,2022-11-10 21:19:13,7
1997,1997-05-03 18:40:00,Round 6,21961,12,Hawthorn,9,Waverley Park,12.0,6,16,93,0,1997-05-03 19:40:00,103,14,North Melbourne,North Melbourne,7,862648800,100,,+11:00,0,2022-11-10 21:19:13,10
1997,1997-05-04 13:40:00,Round 6,21964,14,Port Adelaide,8,Football Park,13.0,6,8,122,0,1997-05-04 15:10:00,58,19,Port Adelaide,Richmond,10,862719000,100,,+11:00,0,2022-11-10 21:19:13,13
1997,1997-05-04 13:10:00,Round 6,21962,11,St Kilda,19,Waverley Park,15.0,6,4,121,0,1997-05-04 14:10:00,35,17,St Kilda,Melbourne,11,862715400,100,,+11:00,0,2022-11-10 21:19:13,15
1997,1997-05-04 13:45:00,Round 6,21963,3,Sydney,16,S.C.G.,16.0,6,11,142,0,1997-05-04 14:45:00,83,21,Sydney,Carlton,17,862717500,100,,+11:00,0,2022-11-10 21:19:13,16
1997,1997-05-02 17:40:00,Round 6,21957,18,West Coast,15,W.A.C.A.,18.0,6,17,99,0,1997-05-02 20:40:00,113,14,Western Bulldogs,Western Bulldogs,11,862566000,100,,+11:00,0,2022-11-10 21:19:13,17
1997,1997-05-11 13:40:00,Round 7,21972,5,Adelaide,18,Football Park,1.0,7,11,126,0,1997-05-11 15:10:00,73,18,Adelaide,Essendon,7,863323800,100,,+11:00,0,2022-11-10 21:19:13,1
1997,1997-05-11 13:45:00,Round 7,21971,17,Brisbane Lions,12,Gabba,17.0,7,21,60,0,1997-05-11 14:45:00,139,8,West Coast,West Coast,13,863322300,100,,+11:00,0,2022-11-10 21:19:13,2
1997,1997-05-10 17:40:00,Round 7,21970,11,Fremantle,22,W.A.C.A.,6.0,7,10,124,0,1997-05-10 20:40:00,69,17,Fremantle,Melbourne,9,863257200,100,,+11:00,0,2022-11-10 21:19:13,6
1997,1997-05-10 13:10:00,Round 7,21968,16,Geelong,10,Kardinia Park,7.0,7,6,76,0,1997-05-10 14:10:00,44,11,Geelong,Sydney,8,863233800,100,,+11:00,0,2022-11-10 21:19:13,7
1997,1997-05-09 18:40:00,Round 7,21965,4,North Melbourne,14,M.C.G.,4.0,7,17,68,0,1997-05-09 19:40:00,111,9,Collingwood,Collingwood,9,863167200,100,,+11:00,0,2022-11-10 21:19:13,12
1997,1997-05-10 13:10:00,Round 7,21966,3,Richmond,16,M.C.G.,3.0,7,14,76,0,1997-05-10 14:10:00,98,10,Carlton,Carlton,14,863233800,100,,+11:00,0,2022-11-10 21:19:13,14
1997,1997-05-10 18:40:00,Round 7,21969,13,St Kilda,6,Waverley Park,15.0,7,8,126,0,1997-05-10 19:40:00,61,20,St Kilda,Port Adelaide,13,863253600,100,,+11:00,0,2022-11-10 21:19:13,15
1997,1997-05-10 13:10:00,Round 7,21967,10,Western Bulldogs,19,Princes Park,18.0,7,13,133,0,1997-05-10 14:10:00,88,19,Western Bulldogs,Hawthorn,10,863233800,100,,+11:00,0,2022-11-10 21:19:13,18
1997,1997-05-17 19:10:00,Round 8,22072,16,Adelaide,12,Football Park,1.0,8,8,144,0,1997-05-17 20:40:00,55,22,Adelaide,Sydney,7,863862000,100,,+11:00,0,2022-11-10 21:19:14,1
1997,1997-05-18 13:10:00,Round 8,22073,10,Carlton,16,Princes Park,3.0,8,12,106,0,1997-05-18 14:10:00,81,15,Carlton,Hawthorn,9,863925000,100,,+11:00,0,2022-11-10 21:19:14,3
1997,1997-05-16 18:40:00,Round 8,22069,18,Collingwood,15,M.C.G.,4.0,8,11,129,0,1997-05-16 19:40:00,83,19,Collingwood,Western Bulldogs,17,863772000,100,,+11:00,0,2022-11-10 21:19:14,4
1997,1997-05-18 13:10:00,Round 8,22074,15,Essendon,16,M.C.G.,15.0,8,18,100,0,1997-05-18 14:10:00,124,14,St Kilda,St Kilda,16,863925000,100,,+11:00,0,2022-11-10 21:19:14,5
1997,1997-05-18 11:10:00,Round 8,22075,2,Fremantle,14,Subiaco,6.0,8,15,98,0,1997-05-18 14:10:00,93,14,Fremantle,Brisbane Lions,3,863925000,100,,+11:00,0,2022-11-10 21:19:14,6
1997,1997-05-17 13:10:00,Round 8,22070,7,Melbourne,7,M.C.G.,7.0,8,19,49,0,1997-05-17 14:10:00,128,7,Geelong,Geelong,14,863838600,100,,+11:00,0,2022-11-10 21:19:14,11
1997,1997-05-17 13:10:00,Round 8,22071,13,North Melbourne,14,Princes Park,12.0,8,15,128,0,1997-05-17 14:10:00,100,19,North Melbourne,Port Adelaide,10,863838600,100,,+11:00,0,2022-11-10 21:19:14,12
1997,1997-05-19 18:40:00,Round 8,22076,17,Richmond,11,M.C.G.,14.0,8,9,119,0,1997-05-19 19:40:00,67,18,Richmond,West Coast,13,864031200,100,,+11:00,0,2022-11-10 21:19:14,14
1997,1997-05-25 13:45:00,Round 9,21987,7,Brisbane Lions,12,Gabba,2.0,9,15,126,0,1997-05-25 14:45:00,98,19,Brisbane Lions,Geelong,8,864531900,100,,+11:00,0,2022-11-10 21:19:13,2
1997,1997-05-24 13:10:00,Round 9,21983,6,Carlton,9,Princes Park,3.0,9,14,105,0,1997-05-24 14:10:00,88,16,Carlton,Fremantle,4,864443400,100,,+11:00,0,2022-11-10 21:19:13,3
1997,1997-05-24 13:10:00,Round 9,21982,1,Hawthorn,10,Waverley Park,1.0,9,14,88,0,1997-05-24 14:10:00,102,13,Adelaide,Adelaide,18,864443400,100,,+11:00,0,2022-11-10 21:19:13,10
1997,1997-05-23 19:10:00,Round 9,21981,11,Port Adelaide,18,Football Park,13.0,9,3,78,0,1997-05-23 20:40:00,27,10,Port Adelaide,Melbourne,9,864380400,100,,+11:00,0,2022-11-10 21:19:13,13
1997,1997-05-25 13:10:00,Round 9,21986,14,St Kilda,9,Waverley Park,15.0,9,14,141,0,1997-05-25 14:10:00,94,22,St Kilda,Richmond,10,864529800,100,,+11:00,0,2022-11-10 21:19:13,15
1997,1997-05-24 18:40:00,Round 9,21984,4,Sydney,15,S.C.G.,16.0,9,11,111,0,1997-05-24 19:40:00,74,16,Sydney,Collingwood,8,864463200,100,,+11:00,0,2022-11-10 21:19:13,16
1997,1997-05-25 11:20:00,Round 9,21988,5,West Coast,14,Subiaco,17.0,9,13,110,0,1997-05-25 14:20:00,85,16,West Coast,Essendon,7,864530400,100,,+11:00,0,2022-11-10 21:19:13,17
1997,1997-05-25 13:10:00,Round 9,21985,12,Western Bulldogs,7,M.C.G.,18.0,9,10,103,0,1997-05-25 14:10:00,71,16,Western Bulldogs,North Melbourne,11,864529800,100,,+11:00,0,2022-11-10 21:19:13,18
1997,1997-06-01 13:10:00,Round 10,21979,16,Brisbane Lions,14,Gabba,2.0,10,13,92,0,1997-06-01 14:10:00,89,13,Brisbane Lions,Sydney,11,865134600,100,,+11:00,0,2022-11-10 21:19:13,2
1997,1997-06-01 13:10:00,Round 10,21978,18,Essendon,12,M.C.G.,18.0,10,20,114,0,1997-06-01 14:10:00,136,17,Western Bulldogs,Western Bulldogs,16,865134600,100,,+11:00,0,2022-11-10 21:19:13,5
1997,1997-06-02 17:40:00,Round 10,21980,1,Fremantle,12,Subiaco,1.0,10,16,72,0,1997-06-02 20:40:00,105,10,Adelaide,Adelaide,9,865244400,100,,+11:00,0,2022-11-10 21:19:13,6
1997,1997-05-31 13:10:00,Round 10,21975,15,Geelong,11,Kardinia Park,7.0,10,11,107,0,1997-05-31 14:10:00,79,16,Geelong,St Kilda,13,865048200,100,,+11:00,0,2022-11-10 21:19:13,7
1997,1997-05-31 13:10:00,Round 10,21974,4,Hawthorn,12,Waverley Park,10.0,10,8,108,0,1997-05-31 14:10:00,55,16,Hawthorn,Collingwood,7,865048200,100,,+11:00,0,2022-11-10 21:19:13,10
1997,1997-05-31 13:10:00,Round 10,21976,17,North Melbourne,13,Princes Park,12.0,10,9,103,0,1997-05-31 14:10:00,58,15,North Melbourne,West Coast,4,865048200,100,,+11:00,0,2022-11-10 21:19:13,12
1997,1997-05-30 19:10:00,Round 10,21973,3,Port Adelaide,9,Football Park,13.0,10,7,93,0,1997-05-30 20:40:00,55,14,Port Adelaide,Carlton,13,864985200,100,,+11:00,0,2022-11-10 21:19:13,13
1997,1997-05-31 18:40:00,Round 10,21977,11,Richmond,13,M.C.G.,11.0,10,14,67,0,1997-05-31 19:40:00,92,9,Melbourne,Melbourne,8,865068000,100,,+11:00,0,2022-11-10 21:19:13,14
1997,1997-06-09 13:10:00,Round 11,22083,2,Carlton,12,Princes Park,3.0,11,9,84,0,1997-06-09 14:10:00,63,12,Carlton,Brisbane Lions,9,865825800,100,,+11:00,0,2022-11-10 21:19:14,3
1997,1997-06-06 18:40:00,Round 11,22077,14,Collingwood,11,M.C.G.,14.0,11,11,71,0,1997-06-06 19:40:00,77,10,Richmond,Richmond,11,865586400,100,,+11:00,0,2022-11-10 21:19:14,4
1997,1997-06-07 13:10:00,Round 11,22078,10,Essendon,13,M.C.G.,10.0,11,17,91,0,1997-06-07 14:10:00,124,13,Hawthorn,Hawthorn,22,865653000,100,,+11:00,0,2022-11-10 21:19:14,5
1997,1997-06-08 13:10:00,Round 11,22081,1,Melbourne,15,M.C.G.,1.0,11,14,45,0,1997-06-08 14:10:00,97,5,Adelaide,Adelaide,13,865739400,100,,+11:00,0,2022-11-10 21:19:14,11
1997,1997-06-09 13:10:00,Round 11,22084,6,North Melbourne,15,M.C.G.,12.0,11,12,105,0,1997-06-09 14:10:00,79,15,North Melbourne,Fremantle,7,865825800,100,,+11:00,0,2022-11-10 21:19:14,12
1997,1997-06-07 19:10:00,Round 11,22080,16,Port Adelaide,17,Football Park,16.0,11,10,41,0,1997-06-07 20:40:00,76,4,Sydney,Sydney,16,865676400,100,,+11:00,0,2022-11-10 21:19:14,13
1997,1997-06-08 11:10:00,Round 11,22082,15,West Coast,7,Subiaco,15.0,11,13,73,0,1997-06-08 14:10:00,89,11,St Kilda,St Kilda,11,865739400,100,,+11:00,0,2022-11-10 21:19:14,17
1997,1997-06-07 13:10:00,Round 11,22079,7,Western Bulldogs,12,Princes Park,18.0,11,11,96,0,1997-06-07 14:10:00,75,14,Western Bulldogs,Geelong,9,865653000,100,,+11:00,0,2022-11-10 21:19:14,18
1997,1997-06-15 13:40:00,Round 12,21947,12,Adelaide,11,Football Park,12.0,12,16,83,0,1997-06-15 15:10:00,105,12,North Melbourne,North Melbourne,9,866347800,100,,+11:00,0,2022-11-10 21:19:13,1
1997,1997-06-14 13:10:00,Round 12,21942,17,Collingwood,13,Victoria Park,17.0,12,11,55,0,1997-06-14 14:10:00,71,7,West Coast,West Coast,5,866257800,100,,+11:00,0,2022-11-10 21:19:13,4
1997,1997-06-15 11:10:00,Round 12,21948,5,Fremantle,13,Subiaco,6.0,12,9,157,0,1997-06-15 14:10:00,60,24,Fremantle,Essendon,6,866344200,100,,+11:00,0,2022-11-10 21:19:13,6
1997,1997-06-14 13:10:00,Round 12,21944,10,Geelong,10,Kardinia Park,10.0,12,13,82,0,1997-06-14 14:10:00,88,12,Hawthorn,Hawthorn,10,866257800,100,,+11:00,0,2022-11-10 21:19:13,7
1997,1997-06-15 13:10:00,Round 12,21946,2,Melbourne,8,M.C.G.,2.0,12,21,50,0,1997-06-15 14:10:00,135,7,Brisbane Lions,Brisbane Lions,9,866344200,100,,+11:00,0,2022-11-10 21:19:13,11
1997,1997-06-15 13:10:00,Round 12,21945,3,St Kilda,20,Waverley Park,15.0,12,12,116,0,1997-06-15 14:10:00,85,16,St Kilda,Carlton,13,866344200,100,,+11:00,0,2022-11-10 21:19:13,15
