unixtime,winner,ascore,hgoals,abehinds,ateam,is_grand_final,updated,hteamid,timestr,complete,tz,id,ateamid,year,localtime,roundname,is_final,date,venue,hbehinds,hteam,winnerteamid,round,agoals,hscore
891078000,Western Bulldogs,118,10,16,Western Bulldogs,0,2022-11-10 21:14:18,2,,100,+11:00,21802,18,1998,1998-03-28 19:40:00,Round 1,0,1998-03-28 20:40:00,Gabba,12,Brisbane Lions,18.0,1,17,72
891054600,Carlton,63,10,9,Adelaide,0,2022-11-10 21:14:18,3,,100,+11:00,21799,1,1998,1998-03-28 14:10:00,Round 1,0,1998-03-28 14:10:00,Princes Park,13,Carlton,3.0,1,9,73
891060000,Collingwood,84,18,12,Hawthorn,0,2022-11-10 21:14:18,4,,100,+11:00,21801,10,1998,1998-03-28 15:40:00,Round 1,0,1998-03-28 15:40:00,M.C.G.,15,Collingwood,4.0,1,12,123
891145200,Fremantle,61,13,13,Melbourne,0,2022-11-10 21:14:18,6,,100,+11:00,21805,11,1998,1998-03-29 12:20:00,Round 1,0,1998-03-29 15:20:00,Subiaco,6,Fremantle,6.0,1,8,84
890988000,North Melbourne,101,15,11,West Coast,0,2022-11-10 21:14:18,12,,100,+11:00,21798,17,1998,1998-03-27 19:40:00,Round 1,0,1998-03-27 19:40:00,M.C.G.,13,North Melbourne,12.0,1,15,103
891142800,Sydney,124,17,4,Sydney,0,2022-11-10 21:14:18,13,,100,+11:00,21804,16,1998,1998-03-29 13:10:00,Round 1,0,1998-03-29 14:40:00,Football Park,15,Port Adelaide,16.0,1,20,117
891141000,Richmond,89,14,11,Essendon,0,2022-11-10 21:14:18,14,,100,+11:00,21803,5,1998,1998-03-29 13:10:00,Round 1,0,1998-03-29 14:10:00,M.C.G.,19,Richmond,14.0,1,13,103
891054600,St Kilda,91,17,13,Geelong,0,2022-11-10 21:14:18,15,,100,+11:00,21800,7,1998,1998-03-28 14:10:00,Round 1,0,1998-03-28 14:10:00,Waverley Park,7,St Kilda,15.0,1,13,109
891745800,Adelaide,74,25,8,Fremantle,0,2022-11-10 21:14:18,1,,100,+11:00,21861,6,1998,1998-04-05 12:40:00,Round 2,0,1998-04-05 14:10:00,Football Park,17,Adelaide,1.0,2,11,167
891745800,Essendon,93,28,15,St Kilda,0,2022-11-10 21:14:18,5,,100,+11:00,21860,15,1998,1998-04-05 13:10:00,Round 2,0,1998-04-05 14:10:00,M.C.G.,14,Essendon,5.0,2,13,182
891659400,Geelong,80,14,14,Richmond,0,2022-11-10 21:14:18,7,,100,+11:00,21855,14,1998,1998-04-04 13:10:00,Round 2,0,1998-04-04 14:10:00,Kardinia Park,15,Geelong,7.0,2,11,99
891659400,Port Adelaide,112,10,10,Port Adelaide,0,2022-11-10 21:14:18,10,,100,+11:00,21856,13,1998,1998-04-04 13:10:00,Round 2,0,1998-04-04 14:10:00,Waverley Park,7,Hawthorn,13.0,2,17,67
891664800,Melbourne,100,19,10,North Melbourne,0,2022-11-10 21:14:18,11,,100,+11:00,21857,12,1998,1998-04-04 14:40:00,Round 2,0,1998-04-04 15:40:00,M.C.G.,11,Melbourne,11.0,2,15,125
891679200,Sydney,97,20,13,Brisbane Lions,0,2022-11-10 21:14:18,16,,100,+11:00,21858,2,1998,1998-04-04 18:40:00,Round 2,0,1998-04-04 19:40:00,S.C.G.,15,Sydney,16.0,2,14,135
