unixtime,abehinds,ateam,ascore,winner,hgoals,updated,hteamid,is_grand_final,tz,complete,timestr,id,ateamid,year,localtime,roundname,date,is_final,round,agoals,hscore,hbehinds,hteam,venue,winnerteamid
922524000,13,Western Bulldogs,91,Western Bulldogs,12,2022-11-10 21:13:01,1,0,+11:00,100,,21590,18,1999,1999-03-27 19:10:00,Round 1,1999-03-27 19:40:00,0,1,13,78,6,Adelaide,Football Park,18.0
922524000,3,St Kilda,63,Brisbane Lions,23,2022-11-10 21:13:01,2,0,+11:00,100,,21591,15,1999,1999-03-27 18:40:00,Round 1,1999-03-27 19:40:00,0,1,10,152,14,Brisbane Lions,Gabba,2.0
922590600,14,Hawthorn,74,Hawthorn,8,2022-11-10 21:13:01,4,0,+11:00,100,,21592,10,1999,1999-03-28 13:10:00,Round 1,1999-03-28 14:10:00,0,1,10,59,11,Collingwood,M.C.G.,10.0
922351200,17,Carlton,71,Essendon,16,2022-11-10 21:13:01,5,0,+11:00,100,,21587,3,1999,1999-03-25 19:40:00,Round 1,1999-03-25 19:40:00,0,1,9,110,14,Essendon,M.C.G.,5.0
922597800,12,West Coast,102,West Coast,13,2022-11-10 21:13:01,6,0,+11:00,100,,21594,17,1999,1999-03-28 13:10:00,Round 1,1999-03-28 16:10:00,0,1,15,98,20,Fremantle,Subiaco,17.0
922437600,9,North Melbourne,135,Geelong,22,2022-11-10 21:13:01,7,0,+11:00,100,,21588,12,1999,1999-03-26 19:40:00,Round 1,1999-03-26 19:40:00,0,1,21,141,9,Geelong,M.C.G.,7.0
922504200,9,Richmond,87,Melbourne,14,2022-11-10 21:13:01,11,0,+11:00,100,,21589,14,1999,1999-03-27 14:10:00,Round 1,1999-03-27 14:10:00,0,1,13,104,20,Melbourne,M.C.G.,11.0
922590600,13,Port Adelaide,115,Port Adelaide,12,2022-11-10 21:13:01,16,0,+11:00,100,,21593,13,1999,1999-03-28 13:10:00,Round 1,1999-03-28 14:10:00,0,1,17,86,14,Sydney,S.C.G.,13.0
923281800,11,Collingwood,83,Carlton,15,2022-11-10 21:13:01,3,0,+11:00,100,,21661,4,1999,1999-04-05 13:10:00,Round 2,1999-04-05 14:10:00,0,2,12,112,22,Carlton,M.C.G.,3.0
923128800,12,Adelaide,60,Adelaide,8,2022-11-10 21:13:01,10,0,+11:00,100,,21657,1,1999,1999-04-03 18:40:00,Round 2,1999-04-03 19:40:00,0,2,8,56,8,Hawthorn,Waverley Park,1.0
922956000,9,Essendon,141,Essendon,15,2022-11-10 21:13:01,12,0,+11:00,100,,21654,5,1999,1999-04-01 18:40:00,Round 2,1999-04-01 19:40:00,0,2,22,106,16,North Melbourne,M.C.G.,5.0
923195400,11,Fremantle,101,Port Adelaide,17,2022-11-10 21:13:01,13,0,+11:00,100,,21660,6,1999,1999-04-04 12:40:00,Round 2,1999-04-04 14:10:00,0,2,15,114,12,Port Adelaide,Football Park,13.0
923109000,18,Sydney,96,Richmond,15,2022-11-10 21:13:01,14,0,+11:00,100,,21656,16,1999,1999-04-03 13:10:00,Round 2,1999-04-03 14:10:00,0,2,13,108,18,Richmond,M.C.G.,14.0
923195400,6,Melbourne,84,St Kilda,19,2022-11-10 21:13:01,15,0,+11:00,100,,21659,11,1999,1999-04-04 13:10:00,Round 2,1999-04-04 14:10:00,0,2,13,130,16,St Kilda,Waverley Park,15.0
923133600,7,Brisbane Lions,73,West Coast,11,2022-11-10 21:13:01,17,0,+11:00,100,,21658,2,1999,1999-04-03 18:00:00,Round 2,1999-04-03 21:00:00,0,2,11,83,17,West Coast,Subiaco,17.0
923109000,11,Geelong,155,Geelong,20,2022-11-10 21:13:01,18,0,+11:00,100,,21655,7,1999,1999-04-03 13:10:00,Round 2,1999-04-03 14:10:00,0,2,24,134,14,Western Bulldogs,Princes Park,7.0
