hteamid,updated,is_grand_final,tz,timestr,complete,unixtime,ateam,abehinds,hgoals,winner,ascore,date,is_final,agoals,hscore,round,winnerteamid,hbehinds,venue,hteam,ateamid,id,roundname,year,localtime
1,2022-01-25 11:07:30,0,+11:00,Full Time,100,952746600,Western Bulldogs,17,15,Western Bulldogs,131,2000-03-11 14:50:00,0,19,108,1,18.0,18,Football Park,Adelaide,18,10714,Round 1,2000,2000-03-11 14:20:00
3,2022-01-25 11:07:30,0,+11:00,Full Time,100,952917000,Brisbane Lions,16,22,Carlton,112,2000-03-13 14:10:00,0,16,152,1,3.0,20,Princes Park,Carlton,2,10717,Round 1,2000,2000-03-13 14:10:00
5,2022-01-25 11:07:30,0,+11:00,Full Time,100,952593300,Port Adelaide,14,24,Essendon,62,2000-03-09 20:15:00,0,8,156,1,5.0,12,Docklands,Essendon,13,10712,Round 1,2000,2000-03-09 20:15:00
6,2022-01-25 11:07:30,0,+11:00,Full Time,100,952756800,Geelong,15,16,Geelong,129,2000-03-11 17:40:00,0,19,107,1,7.0,11,Subiaco,Fremantle,7,10715,Round 1,2000,2000-03-11 14:40:00
10,2022-01-25 11:07:30,0,+11:00,Full Time,100,952917000,Collingwood,20,13,Collingwood,140,2000-03-13 14:10:00,0,20,86,1,4.0,8,M.C.G.,Hawthorn,4,10718,Round 1,2000,2000-03-13 14:10:00
12,2022-01-25 11:07:30,0,+11:00,Full Time,100,952677600,West Coast,10,16,West Coast,154,2000-03-10 19:40:00,0,24,111,1,17.0,15,M.C.G.,North Melbourne,17,10713,Round 1,2000,2000-03-10 19:40:00
14,2022-01-25 11:07:30,0,+11:00,Full Time,100,952504800,Melbourne,14,14,Richmond,92,2000-03-08 19:40:00,0,13,94,1,14.0,10,M.C.G.,Richmond,11,10711,Round 1,2000,2000-03-08 19:40:00
15,2022-01-25 11:07:30,0,+11:00,Full Time,100,952850400,Sydney,8,15,Sydney,134,2000-03-12 19:40:00,0,21,100,1,16.0,10,Docklands,St Kilda,16,10716,Round 1,2000,2000-03-12 19:40:00
3,2022-01-25 11:07:30,0,+11:00,Full Time,100,953435400,Hawthorn,4,22,Carlton,112,2000-03-19 14:10:00,0,18,154,2,3.0,22,Princes Park,Carlton,10,10724,Round 2,2000,2000-03-19 14:10:00
4,2022-01-25 11:07:30,0,+11:00,Full Time,100,953435400,Adelaide,14,14,Collingwood,92,2000-03-19 14:10:00,0,13,103,2,4.0,19,M.C.G.,Collingwood,1,10723,Round 2,2000,2000-03-19 14:10:00
