unixtime,winner,ascore,hgoals,ateam,abehinds,is_grand_final,hteamid,updated,timestr,complete,tz,ateamid,id,roundname,localtime,year,is_final,date,winnerteamid,hteam,venue,hbehinds,agoals,hscore,round
986024400,Carlton,119,18,Carlton,11,0,6,2022-01-25 11:07:27,Full Time,100,+10:00,3,10529,Round 1,2001-03-31 15:40:00,2001,0,2001-03-31 17:40:00,3,Fremantle,Subiaco,10,18,118,1
986098200,Geelong,49,17,West Coast,7,0,7,2022-01-25 11:07:27,Full Time,100,+10:00,17,10532,Round 1,2001-04-01 14:10:00,2001,0,2001-04-01 14:10:00,7,Geelong,Kardinia Park,13,7,115,1
986011800,Hawthorn,81,13,Collingwood,15,0,10,2022-01-25 11:07:27,Full Time,100,+10:00,4,10527,Round 1,2001-03-31 14:10:00,2001,0,2001-03-31 14:10:00,10,Hawthorn,M.C.G.,7,11,85,1
986098200,Richmond,134,15,Richmond,14,0,11,2022-01-25 11:07:27,Full Time,100,+10:00,14,10533,Round 1,2001-04-01 14:10:00,2001,0,2001-04-01 14:10:00,14,Melbourne,M.C.G.,13,20,103,1
985945200,Essendon,146,9,Essendon,8,0,12,2022-01-25 11:07:27,Full Time,100,+10:00,5,10526,Round 1,2001-03-30 19:40:00,2001,0,2001-03-30 19:40:00,5,North Melbourne,M.C.G.,7,23,61,1
986029800,Port Adelaide,93,14,Brisbane Lions,9,0,13,2022-01-25 11:07:27,Full Time,100,+10:00,2,10530,Round 1,2001-03-31 18:40:00,2001,0,2001-03-31 19:10:00,13,Port Adelaide,Football Park,15,14,99,1
986098200,Sydney,74,19,Adelaide,14,0,16,2022-01-25 11:07:27,Full Time,100,+10:00,1,10531,Round 1,2001-04-01 14:10:00,2001,0,2001-04-01 14:10:00,16,Sydney,S.C.G.,12,10,126,1
986029200,St Kilda,112,16,St Kilda,16,0,18,2022-01-25 11:07:27,Full Time,100,+10:00,15,10528,Round 1,2001-03-31 19:00:00,2001,0,2001-03-31 19:00:00,15,Western Bulldogs,Docklands,11,16,107,1
986634600,Melbourne,83,11,Melbourne,11,0,1,2022-01-25 11:07:27,Full Time,100,+10:00,11,10538,Round 2,2001-04-07 18:40:00,2001,0,2001-04-07 19:10:00,11,Adelaide,Football Park,14,12,80,2
986703000,Brisbane Lions,58,17,North Melbourne,10,0,2,2022-01-25 11:07:27,Full Time,100,+10:00,12,10540,Round 2,2001-04-08 14:10:00,2001,0,2001-04-08 14:10:00,2,Brisbane Lions,Gabba,16,8,118,2
986616600,Hawthorn,107,11,Hawthorn,11,0,3,2022-01-25 11:07:27,Full Time,100,+10:00,10,10535,Round 2,2001-04-07 14:10:00,2001,0,2001-04-07 14:10:00,10,Carlton,Princes Park,15,16,81,2
