id,ateamid,year,localtime,roundname,is_final,date,hbehinds,venue,hteam,winnerteamid,round,hscore,agoals,unixtime,hgoals,winner,ascore,abehinds,ateam,is_grand_final,updated,hteamid,timestr,complete,tz
10343,5,2002,2002-03-30 19:10:00,Round 1,0,2002-03-30 19:10:00,10,M.C.G.,Geelong,5.0,1,76,18,1017475800,11,Essendon,126,18,Essendon,0,2022-01-25 11:07:25,7,Full Time,100,+11:00
10348,11,2002,2002-04-01 14:10:00,Round 1,0,2002-04-01 14:10:00,13,M.C.G.,Hawthorn,11.0,1,103,20,1017634200,15,Melbourne,129,9,Melbourne,0,2022-01-25 11:07:25,10,Full Time,100,+10:00
10344,12,2002,2002-03-30 18:40:00,Round 1,0,2002-03-30 19:10:00,7,Football Park,Port Adelaide,12.0,1,73,12,1017475800,11,North Melbourne,83,11,North Melbourne,0,2022-01-25 11:07:25,13,Full Time,100,+11:00
10341,4,2002,2002-03-28 19:45:00,Round 1,0,2002-03-28 19:45:00,11,M.C.G.,Richmond,14.0,1,155,18,1017305100,24,Richmond,118,10,Collingwood,0,2022-01-25 11:07:25,14,Full Time,100,+11:00
10342,3,2002,2002-03-30 14:10:00,Round 1,0,2002-03-30 14:10:00,5,Docklands,St Kilda,15.0,1,89,10,1017457800,14,St Kilda,65,5,Carlton,0,2022-01-25 11:07:25,15,Full Time,100,+11:00
10345,2,2002,2002-03-31 13:10:00,Round 1,0,2002-03-31 13:10:00,15,S.C.G.,Sydney,2.0,1,87,17,1017544200,12,Brisbane Lions,110,8,Brisbane Lions,0,2022-01-25 11:07:25,16,Full Time,100,+10:00
10347,6,2002,2002-03-31 11:40:00,Round 1,0,2002-03-31 13:40:00,11,Subiaco,West Coast,17.0,1,137,18,1017546000,21,West Coast,118,10,Fremantle,0,2022-01-25 11:07:25,17,Full Time,100,+10:00
10346,1,2002,2002-03-31 14:10:00,Round 1,0,2002-03-31 14:10:00,21,Docklands,Western Bulldogs,1.0,1,93,16,1017547800,12,Adelaide,112,16,Adelaide,0,2022-01-25 11:07:25,18,Full Time,100,+10:00
10353,7,2002,2002-04-06 18:40:00,Round 2,0,2002-04-06 19:10:00,14,Football Park,Adelaide,1.0,2,110,12,1018084200,16,Adelaide,79,7,Geelong,0,2022-01-25 11:07:25,1,Full Time,100,+10:00
10354,10,2002,2002-04-07 13:10:00,Round 2,0,2002-04-07 13:10:00,22,Gabba,Brisbane Lions,2.0,2,148,6,1018149000,21,Brisbane Lions,46,10,Hawthorn,0,2022-01-25 11:07:25,2,Full Time,100,+10:00
10350,16,2002,2002-04-06 14:10:00,Round 2,0,2002-04-06 14:10:00,9,Princes Park,Carlton,16.0,2,33,17,1018066200,4,Sydney,111,9,Sydney,0,2022-01-25 11:07:25,3,Full Time,100,+10:00
10351,17,2002,2002-04-06 14:10:00,Round 2,0,2002-04-06 14:10:00,18,M.C.G.,Collingwood,4.0,2,120,18,1018066200,17,Collingwood,119,11,West Coast,0,2022-01-25 11:07:25,4,Full Time,100,+10:00
10349,14,2002,2002-04-05 19:45:00,Round 2,0,2002-04-05 19:45:00,16,M.C.G.,Essendon,5.0,2,112,8,1017999900,16,Essendon,60,12,Richmond,0,2022-01-25 11:07:25,5,Full Time,100,+10:00
10356,15,2002,2002-04-07 11:40:00,Round 2,0,2002-04-07 13:40:00,16,Subiaco,Fremantle,6.0,2,76,11,1018150800,10,Fremantle,73,7,St Kilda,0,2022-01-25 11:07:25,6,Full Time,100,+10:00
10355,13,2002,2002-04-07 14:10:00,Round 2,0,2002-04-07 14:10:00,13,M.C.G.,Melbourne,11.0,2,109,11,1018152600,16,Melbourne,82,16,Port Adelaide,0,2022-01-25 11:07:25,11,Full Time,100,+10:00
10352,18,2002,2002-04-06 19:10:00,Round 2,0,2002-04-06 19:10:00,14,Docklands,North Melbourne,12.0,2,110,14,1018084200,16,North Melbourne,97,13,Western Bulldogs,0,2022-01-25 11:07:25,12,Full Time,100,+10:00
10359,16,2002,2002-04-13 13:40:00,Round 3,0,2002-04-13 14:10:00,12,Football Park,Adelaide,1.0,3,114,13,1018671000,17,Adelaide,84,6,Sydney,0,2022-01-25 11:07:25,1,Full Time,100,+10:00
10360,5,2002,2002-04-13 19:10:00,Round 3,0,2002-04-13 19:10:00,15,Gabba,Brisbane Lions,2.0,3,117,9,1018689000,17,Brisbane Lions,67,13,Essendon,0,2022-01-25 11:07:25,2,Full Time,100,+10:00
10357,4,2002,2002-04-12 19:45:00,Round 3,0,2002-04-12 19:45:00,9,M.C.G.,Carlton,3.0,3,75,7,1018604700,11,Carlton,55,13,Collingwood,0,2022-01-25 11:07:25,3,Full Time,100,+10:00
10362,6,2002,2002-04-14 13:10:00,Round 3,0,2002-04-14 13:10:00,11,York Park,Hawthorn,10.0,3,89,11,1018753800,13,Hawthorn,79,13,Fremantle,0,2022-01-25 11:07:25,10,Full Time,100,+10:00
