date,is_final,hscore,agoals,round,winnerteamid,hteam,hbehinds,venue,ateamid,id,roundname,localtime,year,hteamid,updated,is_grand_final,tz,timestr,complete,unixtime,abehinds,ateam,ascore,hgoals,winner
2003-03-30 14:40:00,0,145,13,1,1.0,Adelaide,13,Football Park,6,10163,Round 1,2003-03-30 14:10:00,2003,1,2022-01-25 11:07:22,0,+10:00,Full Time,100,1048999200,11,Fremantle,89,22,Adelaide
2003-03-29 19:10:00,0,104,8,1,2.0,Brisbane Lions,20,Gabba,5,10160,Round 1,2003-03-29 18:10:00,2003,2,2022-01-25 11:07:22,0,+11:00,Full Time,100,1048925400,13,Essendon,61,14,Brisbane Lions
2003-03-28 19:40:00,0,94,8,1,4.0,Collingwood,16,M.C.G.,14,10156,Round 1,2003-03-28 19:40:00,2003,4,2022-01-25 11:07:22,0,+11:00,Full Time,100,1048840800,18,Richmond,66,13,Collingwood
2003-03-30 14:10:00,0,106,15,1,11.0,Melbourne,10,M.C.G.,10,10162,Round 1,2003-03-30 14:10:00,2003,11,2022-01-25 11:07:22,0,+10:00,Full Time,100,1048997400,10,Hawthorn,100,16,Melbourne
2003-03-29 14:10:00,0,96,10,1,12.0,North Melbourne,12,M.C.G.,15,10157,Round 1,2003-03-29 14:10:00,2003,12,2022-01-25 11:07:22,0,+11:00,Full Time,100,1048907400,10,St Kilda,70,14,North Melbourne
2003-03-29 19:40:00,0,146,10,1,16.0,Sydney,14,Stadium Australia,3,10159,Round 1,2003-03-29 19:40:00,2003,16,2022-01-25 11:07:22,0,+11:00,Full Time,100,1048927200,12,Carlton,72,22,Sydney
2003-03-29 13:10:00,0,122,11,1,17.0,West Coast,20,Subiaco,13,10158,Round 1,2003-03-29 10:10:00,2003,17,2022-01-25 11:07:22,0,+11:00,Full Time,100,1048903800,8,Port Adelaide,74,17,West Coast
2003-03-30 14:10:00,0,130,13,1,18.0,Western Bulldogs,16,Docklands,7,10161,Round 1,2003-03-30 14:10:00,2003,18,2022-01-25 11:07:22,0,+10:00,Full Time,100,1048997400,13,Geelong,91,19,Western Bulldogs
2003-04-04 19:40:00,0,91,16,2,4.0,Carlton,13,M.C.G.,4,10164,Round 2,2003-04-04 19:40:00,2003,3,2022-01-25 11:07:22,0,+10:00,Full Time,100,1049449200,11,Collingwood,107,13,Collingwood
2003-04-05 14:10:00,0,112,10,2,5.0,Essendon,10,M.C.G.,11,10166,Round 2,2003-04-05 14:10:00,2003,5,2022-01-25 11:07:22,0,+10:00,Full Time,100,1049515800,15,Melbourne,75,17,Essendon
