is_grand_final,updated,hteamid,complete,timestr,tz,unixtime,hgoals,winner,ascore,abehinds,ateam,is_final,date,venue,hbehinds,hteam,winnerteamid,round,hscore,agoals,id,ateamid,localtime,year,roundname
0,2022-01-25 11:07:20,2,100,Full Time,+11:00,1080378600,11,Brisbane Lions,78,12,Sydney,0,2004-03-27 20:10:00,Gabba,14,Brisbane Lions,2,1,80,11,9975,16,2004-03-27 19:10:00,2004,Round 1
0,2022-01-25 11:07:20,6,100,Full Time,+11:00,1080357300,15,Fremantle,60,12,Carlton,0,2004-03-27 14:15:00,Subiaco,17,Fremantle,6,1,107,8,9973,3,2004-03-27 11:15:00,2004,Round 1
0,2022-01-25 11:07:20,10,100,Full Time,+11:00,1080357000,17,Hawthorn,70,10,Melbourne,0,2004-03-27 14:10:00,M.C.G.,17,Hawthorn,10,1,119,10,9972,11,2004-03-27 14:10:00,2004,Round 1
0,2022-01-25 11:07:20,12,100,Full Time,+10:00,1080447000,23,North Melbourne,74,14,Adelaide,0,2004-03-28 14:10:00,M.C.G.,11,North Melbourne,12,1,149,10,9977,1,2004-03-28 14:10:00,2004,Round 1
0,2022-01-25 11:07:20,13,100,Full Time,+10:00,1080441600,23,Port Adelaide,62,14,Essendon,0,2004-03-28 12:40:00,Football Park,20,Port Adelaide,13,1,158,8,9976,5,2004-03-28 12:10:00,2004,Round 1
0,2022-01-25 11:07:20,14,100,Full Time,+11:00,1080290700,14,Richmond,57,9,Collingwood,0,2004-03-26 19:45:00,M.C.G.,13,Richmond,14,1,97,8,9971,4,2004-03-26 19:45:00,2004,Round 1
0,2022-01-25 11:07:20,15,100,Full Time,+11:00,1080375000,19,St Kilda,61,7,Geelong,0,2004-03-27 19:10:00,Docklands,8,St Kilda,15,1,122,9,9974,7,2004-03-27 19:10:00,2004,Round 1
0,2022-01-25 11:07:20,18,100,Full Time,+10:00,1080447000,20,West Coast,144,12,West Coast,0,2004-03-28 14:10:00,Docklands,17,Western Bulldogs,17,1,137,22,9978,17,2004-03-28 14:10:00,2004,Round 1
0,2022-01-25 11:07:20,1,100,Full Time,+10:00,1080965400,11,Brisbane Lions,104,14,Brisbane Lions,0,2004-04-03 14:10:00,Football Park,17,Adelaide,2,2,83,15,9981,2,2004-04-03 13:40:00,2004,Round 2
0,2022-01-25 11:07:20,3,100,Full Time,+10:00,1081051800,16,Carlton,50,14,Geelong,0,2004-04-04 14:10:00,Princes Park,8,Carlton,3,2,104,6,9985,7,2004-04-04 14:10:00,2004,Round 2
0,2022-01-25 11:07:20,4,100,Full Time,+10:00,1080965400,15,Collingwood,97,19,Western Bulldogs,0,2004-04-03 14:10:00,M.C.G.,16,Collingwood,4,2,106,13,9980,18,2004-04-03 14:10:00,2004,Round 2
0,2022-01-25 11:07:20,5,100,Full Time,+10:00,1080983400,8,St Kilda,94,16,St Kilda,0,2004-04-03 19:10:00,Docklands,12,Essendon,15,2,60,13,9982,15,2004-04-03 19:10:00,2004,Round 2
0,2022-01-25 11:07:20,10,100,Full Time,+10:00,1081051800,11,North Melbourne,103,13,North Melbourne,0,2004-04-04 14:10:00,M.C.G.,8,Hawthorn,12,2,74,15,9986,12,2004-04-04 14:10:00,2004,Round 2
0,2022-01-25 11:07:20,11,100,Full Time,+10:00,1080899100,20,Melbourne,76,4,Richmond,0,2004-04-02 19:45:00,M.C.G.,15,Melbourne,11,2,135,12,9979,14,2004-04-02 19:45:00,2004,Round 2
0,2022-01-25 11:07:20,16,100,Full Time,+10:00,1081048200,15,Sydney,71,11,Fremantle,0,2004-04-04 13:10:00,S.C.G.,12,Sydney,16,2,102,10,9984,6,2004-04-04 13:10:00,2004,Round 2
0,2022-01-25 11:07:20,17,100,Full Time,+10:00,1080978000,17,Port Adelaide,118,10,Port Adelaide,0,2004-04-03 17:40:00,Subiaco,13,West Coast,13,2,115,18,9983,13,2004-04-03 15:40:00,2004,Round 2
0,2022-01-25 11:07:20,2,100,Full Time,+10:00,1081417200,21,Brisbane Lions,77,5,Collingwood,0,2004-04-08 19:40:00,Gabba,11,Brisbane Lions,2,3,137,12,9987,4,2004-04-08 19:40:00,2004,Round 3
