round,hscore,agoals,venue,hteam,hbehinds,winnerteamid,date,is_final,localtime,year,roundname,id,ateamid,tz,complete,timestr,updated,hteamid,is_grand_final,abehinds,ateam,winner,ascore,hgoals,unixtime
1,53,9,Football Park,Adelaide,11,17.0,2005-03-27 14:45:00,0,2005-03-27 14:15:00,2005,Round 1,9792,17,+10:00,100,Full Time,2022-01-25 11:07:17,1,0,10,West Coast,West Coast,64,7,1111898700
1,116,13,Gabba,Brisbane Lions,8,2.0,2005-03-24 19:40:00,0,2005-03-24 18:40:00,2005,Round 1,9786,15,+11:00,100,Full Time,2022-01-25 11:07:17,2,0,15,St Kilda,Brisbane Lions,93,18,1111653600
1,80,16,M.C.G.,Collingwood,14,18.0,2005-03-28 14:15:00,0,2005-03-28 14:15:00,2005,Round 1,9793,18,+10:00,100,Full Time,2022-01-25 11:07:17,4,0,16,Western Bulldogs,Western Bulldogs,112,11,1111983300
1,88,7,Subiaco,Fremantle,10,6.0,2005-03-26 19:40:00,0,2005-03-26 16:40:00,2005,Round 1,9789,13,+11:00,100,Full Time,2022-01-25 11:07:17,6,0,11,Port Adelaide,Fremantle,53,13,1111826400
1,103,8,M.C.G.,Melbourne,13,11.0,2005-03-26 19:20:00,0,2005-03-26 19:20:00,2005,Round 1,9788,5,+11:00,100,Full Time,2022-01-25 11:07:17,11,0,9,Essendon,Melbourne,57,15,1111825200
1,105,12,Docklands,North Melbourne,9,12.0,2005-03-26 14:15:00,0,2005-03-26 14:15:00,2005,Round 1,9787,3,+11:00,100,Full Time,2022-01-25 11:07:17,12,0,13,Carlton,North Melbourne,85,16,1111806900
1,98,25,M.C.G.,Richmond,8,7.0,2005-03-27 14:15:00,0,2005-03-27 14:15:00,2005,Round 1,9791,7,+10:00,100,Full Time,2022-01-25 11:07:17,14,0,10,Geelong,Geelong,160,15,1111896900
1,118,8,S.C.G.,Sydney,10,16.0,2005-03-27 13:15:00,0,2005-03-27 13:15:00,2005,Round 1,9790,10,+10:00,100,Full Time,2022-01-25 11:07:17,16,0,7,Hawthorn,Sydney,55,18,1111893300
2,110,17,M.C.G.,Carlton,14,3.0,2005-04-01 19:40:00,0,2005-04-01 19:40:00,2005,Round 2,9794,5,+10:00,100,Full Time,2022-01-25 11:07:17,3,0,4,Essendon,Carlton,106,16,1112348400
2,75,12,Docklands,Collingwood,15,1.0,2005-04-03 14:10:00,0,2005-04-03 14:10:00,2005,Round 2,9800,1,+10:00,100,Full Time,2022-01-25 11:07:17,4,0,9,Adelaide,Adelaide,81,10,1112501400
2,89,16,M.C.G.,Hawthorn,17,14.0,2005-04-03 14:10:00,0,2005-04-03 14:10:00,2005,Round 2,9801,14,+10:00,100,Full Time,2022-01-25 11:07:17,10,0,7,Richmond,Richmond,103,12,1112501400
2,82,7,Manuka Oval,North Melbourne,10,12.0,2005-04-02 14:10:00,0,2005-04-02 14:10:00,2005,Round 2,9796,16,+10:00,100,Full Time,2022-01-25 11:07:17,12,0,17,Sydney,North Melbourne,59,12,1112415000
2,75,11,Football Park,Port Adelaide,9,13.0,2005-04-02 19:10:00,0,2005-04-02 18:40:00,2005,Round 2,9798,2,+10:00,100,Full Time,2022-01-25 11:07:17,13,0,7,Brisbane Lions,Port Adelaide,73,11,1112433000
2,59,8,York Park,St Kilda,11,15.0,2005-04-03 13:10:00,0,2005-04-03 13:10:00,2005,Round 2,9799,6,+10:00,100,Full Time,2022-01-25 11:07:17,15,0,10,Fremantle,St Kilda,58,8,1112497800
2,84,8,Subiaco,West Coast,12,17.0,2005-04-02 17:40:00,0,2005-04-02 15:40:00,2005,Round 2,9797,7,+10:00,100,Full Time,2022-01-25 11:07:17,17,0,14,Geelong,West Coast,62,12,1112427600
2,111,20,Docklands,Western Bulldogs,21,11.0,2005-04-02 14:10:00,0,2005-04-02 14:10:00,2005,Round 2,9795,11,+10:00,100,Full Time,2022-01-25 11:07:17,18,0,17,Melbourne,Melbourne,137,15,1112415000
3,124,8,Football Park,Adelaide,16,1.0,2005-04-10 12:40:00,0,2005-04-10 12:10:00,2005,Round 3,9807,13,+10:00,100,Full Time,2022-01-25 11:07:17,1,0,8,Port Adelaide,Adelaide,56,18,1113100800
3,81,13,Gabba,Brisbane Lions,15,16.0,2005-04-09 19:10:00,0,2005-04-09 19:10:00,2005,Round 3,9805,16,+10:00,100,Full Time,2022-01-25 11:07:17,2,0,9,Sydney,Sydney,87,11,1113037800
3,108,20,M.C.G.,Carlton,12,4.0,2005-04-09 14:10:00,0,2005-04-09 14:10:00,2005,Round 3,9803,4,+10:00,100,Full Time,2022-01-25 11:07:17,3,0,8,Collingwood,Collingwood,128,16,1113019800
3,77,11,M.C.G.,Essendon,17,5.0,2005-04-10 14:10:00,0,2005-04-10 14:10:00,2005,Round 3,9808,10,+10:00,100,Full Time,2022-01-25 11:07:17,5,0,9,Hawthorn,Essendon,75,10,1113106200
3,80,12,Subiaco,Fremantle,8,17.0,2005-04-09 17:40:00,0,2005-04-09 15:40:00,2005,Round 3,9806,17,+10:00,100,Full Time,2022-01-25 11:07:17,6,0,16,West Coast,West Coast,88,12,1113032400
3,114,8,M.C.G.,Melbourne,6,11.0,2005-04-08 19:40:00,0,2005-04-08 19:40:00,2005,Round 3,9802,7,+10:00,100,Full Time,2022-01-25 11:07:17,11,0,18,Geelong,Melbourne,66,18,1112953200
3,93,15,Docklands,St Kilda,9,12.0,2005-04-09 14:10:00,0,2005-04-09 14:10:00,2005,Round 3,9804,12,+10:00,100,Full Time,2022-01-25 11:07:17,15,0,10,North Melbourne,North Melbourne,100,14,1113019800
3,84,12,Docklands,Western Bulldogs,18,14.0,2005-04-10 14:10:00,0,2005-04-10 14:10:00,2005,Round 3,9809,14,+10:00,100,Full Time,2022-01-25 11:07:17,18,0,16,Richmond,Richmond,88,11,1113106200
4,131,11,Docklands,Geelong,17,7.0,2005-04-16 19:10:00,0,2005-04-16 19:10:00,2005,Round 4,9813,5,+10:00,100,Full Time,2022-01-25 11:07:17,7,0,9,Essendon,Geelong,75,19,1113642600
4,115,10,M.C.G.,Hawthorn,7,10.0,2005-04-16 14:10:00,0,2005-04-16 14:10:00,2005,Round 4,9811,2,+10:00,100,Full Time,2022-01-25 11:07:17,10,0,9,Brisbane Lions,Hawthorn,69,18,1113624600
4,93,13,M.C.G.,North Melbourne,9,12.0,2005-04-15 19:40:00,0,2005-04-15 19:40:00,2005,Round 4,9810,4,+10:00,100,Full Time,2022-01-25 11:07:17,12,0,12,Collingwood,North Melbourne,90,14,1113558000
4,109,16,Football Park,Port Adelaide,19,,2005-04-16 19:10:00,0,2005-04-16 18:40:00,2005,Round 4,9814,3,+10:00,100,Full Time,2022-01-25 11:07:17,13,0,13,Carlton,,109,15,1113642600
4,100,7,M.C.G.,Richmond,16,14.0,2005-04-17 14:10:00,0,2005-04-17 14:10:00,2005,Round 4,9816,6,+10:00,100,Full Time,2022-01-25 11:07:17,14,0,10,Fremantle,Richmond,52,14,1113711000
4,151,15,Docklands,St Kilda,13,15.0,2005-04-17 14:10:00,0,2005-04-17 14:10:00,2005,Round 4,9817,11,+10:00,100,Full Time,2022-01-25 11:07:17,15,0,14,Melbourne,St Kilda,104,23,1113711000
4,79,18,S.C.G.,Sydney,13,1.0,2005-04-17 13:10:00,0,2005-04-17 13:10:00,2005,Round 4,9815,1,+10:00,100,Full Time,2022-01-25 11:07:17,16,0,12,Adelaide,Adelaide,120,11,1113707400
