tz,complete,timestr,updated,hteamid,is_grand_final,ateam,abehinds,winner,ascore,hgoals,unixtime,round,agoals,hscore,venue,hbehinds,hteam,winnerteamid,date,is_final,localtime,year,roundname,id,ateamid
+10:00,100,Full Time,2022-01-25 11:07:14,4,0,Adelaide,9,Adelaide,111,12,1144055400,1,17,77,Docklands,5,Collingwood,1.0,2006-04-03 19:10:00,0,2006-04-03 19:10:00,2006,Round 1,9608,1
+11:00,100,Full Time,2022-01-25 11:07:14,5,0,Sydney,9,Essendon,81,17,1143879000,1,12,108,Docklands,6,Essendon,5.0,2006-04-01 19:10:00,0,2006-04-01 19:10:00,2006,Round 1,9604,16
+11:00,100,Full Time,2022-01-25 11:07:14,7,0,Brisbane Lions,8,Geelong,38,17,1143861000,1,5,115,Kardinia Park,13,Geelong,7.0,2006-04-01 14:10:00,0,2006-04-01 14:10:00,2006,Round 1,9603,2
+10:00,100,Full Time,2022-01-25 11:07:14,10,0,Fremantle,9,Hawthorn,87,17,1143947400,1,13,109,York Park,7,Hawthorn,10.0,2006-04-02 13:10:00,0,2006-04-02 13:10:00,2006,Round 1,9606,6
+10:00,100,Full Time,2022-01-25 11:07:14,11,0,Carlton,15,Carlton,93,10,1143961800,1,13,72,Docklands,12,Melbourne,3.0,2006-04-02 17:10:00,0,2006-04-02 17:10:00,2006,Round 1,9607,3
+11:00,100,Full Time,2022-01-25 11:07:14,13,0,North Melbourne,14,North Melbourne,128,13,1143879000,1,19,87,Football Park,9,Port Adelaide,12.0,2006-04-01 19:10:00,0,2006-04-01 18:40:00,2006,Round 1,9605,12
+11:00,100,Full Time,2022-01-25 11:07:14,17,0,St Kilda,12,West Coast,66,11,1143704400,1,9,84,Subiaco,18,West Coast,17.0,2006-03-30 18:40:00,0,2006-03-30 15:40:00,2006,Round 1,9601,15
+11:00,100,Full Time,2022-01-25 11:07:14,18,0,Richmond,10,Western Bulldogs,52,25,1143794400,1,7,167,Docklands,17,Western Bulldogs,18.0,2006-03-31 19:40:00,0,2006-03-31 19:40:00,2006,Round 1,9602,14
+10:00,100,Full Time,2022-01-25 11:07:14,1,0,West Coast,12,West Coast,90,13,1144557600,2,13,88,Football Park,10,Adelaide,17.0,2006-04-09 14:40:00,0,2006-04-09 14:10:00,2006,Round 2,9616,17
+10:00,100,Full Time,2022-01-25 11:07:14,2,0,Essendon,7,Brisbane Lions,97,17,1144487400,2,15,115,Gabba,13,Brisbane Lions,2.0,2006-04-08 19:10:00,0,2006-04-08 19:10:00,2006,Round 2,9612,5
+10:00,100,Full Time,2022-01-25 11:07:14,6,0,Carlton,8,Fremantle,86,15,1144482000,2,13,101,Subiaco,11,Fremantle,6.0,2006-04-08 17:40:00,0,2006-04-08 15:40:00,2006,Round 2,9613,3
+10:00,100,Full Time,2022-01-25 11:07:14,7,0,North Melbourne,9,Geelong,69,22,1144469400,2,10,138,Kardinia Park,6,Geelong,7.0,2006-04-08 14:10:00,0,2006-04-08 14:10:00,2006,Round 2,9611,12
+10:00,100,Full Time,2022-01-25 11:07:14,10,0,Collingwood,11,Collingwood,119,12,1144555800,2,18,84,Docklands,12,Hawthorn,4.0,2006-04-09 14:10:00,0,2006-04-09 14:10:00,2006,Round 2,9615,4
+10:00,100,Full Time,2022-01-25 11:07:14,14,0,St Kilda,10,St Kilda,88,11,1144402800,2,13,77,Docklands,11,Richmond,15.0,2006-04-07 19:40:00,0,2006-04-07 19:40:00,2006,Round 2,9609,15
+10:00,100,Full Time,2022-01-25 11:07:14,16,0,Port Adelaide,16,Port Adelaide,106,11,1144552200,2,15,80,S.C.G.,14,Sydney,13.0,2006-04-09 13:10:00,0,2006-04-09 13:10:00,2006,Round 2,9614,13
+10:00,100,Full Time,2022-01-25 11:07:14,18,0,Melbourne,18,Western Bulldogs,90,20,1144469400,2,12,137,Docklands,17,Western Bulldogs,18.0,2006-04-08 14:10:00,0,2006-04-08 14:10:00,2006,Round 2,9610,11
+10:00,100,Full Time,2022-01-25 11:07:14,3,0,Sydney,9,Sydney,81,11,1145092200,3,12,74,Docklands,8,Carlton,16.0,2006-04-15 19:10:00,0,2006-04-15 19:10:00,2006,Round 3,9619,16
+10:00,100,Full Time,2022-01-25 11:07:14,5,0,Western Bulldogs,14,Western Bulldogs,104,13,1145160600,3,15,93,Docklands,15,Essendon,18.0,2006-04-16 14:10:00,0,2006-04-16 14:10:00,2006,Round 3,9622,18
+10:00,100,Full Time,2022-01-25 11:07:14,7,0,Hawthorn,11,Hawthorn,101,6,1145074200,3,15,49,Kardinia Park,13,Geelong,10.0,2006-04-15 14:10:00,0,2006-04-15 14:10:00,2006,Round 3,9618,10
+10:00,100,Full Time,2022-01-25 11:07:14,11,0,Adelaide,12,Adelaide,102,14,1145157000,3,15,97,Carrara,13,Melbourne,1.0,2006-04-16 13:10:00,0,2006-04-16 13:10:00,2006,Round 3,9621,1
+10:00,100,Full Time,2022-01-25 11:07:14,12,0,Collingwood,15,Collingwood,153,11,1145247000,3,23,76,Docklands,10,North Melbourne,4.0,2006-04-17 14:10:00,0,2006-04-17 14:10:00,2006,Round 3,9624,4
+10:00,100,Full Time,2022-01-25 11:07:14,13,0,Fremantle,20,Fremantle,110,11,1145167800,3,15,79,Football Park,13,Port Adelaide,6.0,2006-04-16 16:10:00,0,2006-04-16 15:40:00,2006,Round 3,9623,6
+10:00,100,Full Time,2022-01-25 11:07:14,15,0,Brisbane Lions,15,St Kilda,87,19,1144921200,3,12,124,Docklands,10,St Kilda,15.0,2006-04-13 19:40:00,0,2006-04-13 19:40:00,2006,Round 3,9617,2
