is_grand_final,updated,hteamid,timestr,complete,tz,unixtime,winner,ascore,hgoals,ateam,abehinds,is_final,date,hbehinds,hteam,venue,winnerteamid,round,hscore,agoals,id,ateamid,localtime,year,roundname
0,2022-01-25 11:07:11,1,Full Time,100,+10:00,1175395200,Essendon,105,10,Essendon,9,0,2007-04-01 12:40:00,14,Adelaide,Football Park,5.0,1,74,16,9421,5,2007-04-01 12:10:00,2007,Round 1
0,2022-01-25 11:07:11,2,Full Time,100,+10:00,1175332500,Brisbane Lions,44,9,Hawthorn,8,0,2007-03-31 19:15:00,15,Brisbane Lions,Gabba,2.0,1,69,6,9419,10,2007-03-31 19:15:00,2007,Round 1
0,2022-01-25 11:07:11,3,Full Time,100,+10:00,1175411400,Carlton,98,15,Richmond,8,0,2007-04-01 17:10:00,25,Carlton,M.C.G.,3.0,1,115,15,9423,14,2007-04-01 17:10:00,2007,Round 1
0,2022-01-25 11:07:11,6,Full Time,100,+10:00,1175314200,Port Adelaide,121,16,Port Adelaide,7,0,2007-03-31 14:10:00,9,Fremantle,Subiaco,13.0,1,105,19,9418,13,2007-03-31 12:10:00,2007,Round 1
0,2022-01-25 11:07:11,11,Full Time,100,+10:00,1175247600,St Kilda,93,9,St Kilda,15,0,2007-03-30 19:40:00,8,Melbourne,M.C.G.,15.0,1,62,13,9416,15,2007-03-30 19:40:00,2007,Round 1
0,2022-01-25 11:07:11,12,Full Time,100,+10:00,1175314200,Collingwood,82,10,Collingwood,10,0,2007-03-31 14:10:00,19,North Melbourne,M.C.G.,4.0,1,79,12,9417,4,2007-03-31 14:10:00,2007,Round 1
0,2022-01-25 11:07:11,16,Full Time,100,+10:00,1175332500,West Coast,74,10,West Coast,8,0,2007-03-31 19:15:00,13,Sydney,Stadium Australia,17.0,1,73,11,9420,17,2007-03-31 19:15:00,2007,Round 1
0,2022-01-25 11:07:11,18,Full Time,100,+10:00,1175400600,Western Bulldogs,93,17,Geelong,15,0,2007-04-01 14:10:00,11,Western Bulldogs,Docklands,18.0,1,113,13,9422,7,2007-04-01 14:10:00,2007,Round 1
0,2022-01-25 11:07:11,2,Full Time,100,+10:00,1175766000,Brisbane Lions,50,15,St Kilda,8,0,2007-04-05 19:40:00,12,Brisbane Lions,Gabba,2.0,2,102,7,9424,15,2007-04-05 19:40:00,2007,Round 2
0,2022-01-25 11:07:11,5,Full Time,100,+10:00,1176005400,Essendon,112,19,Fremantle,10,0,2007-04-08 14:10:00,8,Essendon,Docklands,5.0,2,122,17,9429,6,2007-04-08 14:10:00,2007,Round 2
