unixtime,ascore,hgoals,winner,abehinds,ateam,is_grand_final,hteamid,updated,complete,timestr,tz,ateamid,id,roundname,localtime,year,is_final,date,winnerteamid,venue,hteam,hbehinds,agoals,hscore,round
1205997000,109,11,Richmond,7,Richmond,0,3,2022-01-25 11:07:08,100,Full Time,+11:00,14,9231,Round 1,2008-03-20 18:10:00,2008,0,2008-03-20 18:10:00,14.0,M.C.G.,Carlton,13,17,79,1
1206155400,85,16,Collingwood,7,Fremantle,0,4,2022-01-25 11:07:08,100,Full Time,+11:00,6,9233,Round 1,2008-03-22 14:10:00,2008,0,2008-03-22 14:10:00,4.0,M.C.G.,Collingwood,15,13,111,1
1206250800,50,23,Hawthorn,14,Melbourne,0,10,2022-01-25 11:07:08,100,Full Time,+11:00,11,9237,Round 1,2008-03-23 16:40:00,2008,0,2008-03-23 16:40:00,10.0,M.C.G.,Hawthorn,16,6,154,1
1206328200,122,9,Essendon,8,Essendon,0,12,2022-01-25 11:07:08,100,Full Time,+11:00,5,9238,Round 1,2008-03-24 14:10:00,2008,0,2008-03-24 14:10:00,5.0,Docklands,North Melbourne,13,19,67,1
1206004500,105,14,Geelong,15,Geelong,0,13,2022-01-25 11:07:08,100,Full Time,+11:00,7,9232,Round 1,2008-03-20 19:45:00,2008,0,2008-03-20 20:15:00,7.0,Football Park,Port Adelaide,12,15,96,1
1206173400,49,6,St Kilda,13,Sydney,0,15,2022-01-25 11:07:08,100,Full Time,+11:00,16,9234,Round 1,2008-03-22 19:10:00,2008,0,2008-03-22 19:10:00,15.0,Docklands,St Kilda,15,6,51,1
1206168000,76,14,West Coast,10,Brisbane Lions,0,17,2022-01-25 11:07:08,100,Full Time,+11:00,2,9235,Round 1,2008-03-22 15:40:00,2008,0,2008-03-22 17:40:00,17.0,Subiaco,West Coast,8,11,92,1
1206238200,123,19,Western Bulldogs,15,Adelaide,0,18,2022-01-25 11:07:08,100,Full Time,+11:00,1,9236,Round 1,2008-03-23 13:10:00,2008,0,2008-03-23 13:10:00,18.0,Docklands,Western Bulldogs,12,18,126,1
1206762000,57,21,Adelaide,9,West Coast,0,1,2022-01-25 11:07:08,100,Full Time,+11:00,17,9241,Round 2,2008-03-29 14:10:00,2008,0,2008-03-29 14:40:00,1.0,Football Park,Adelaide,7,8,133,2
1206693600,94,13,Brisbane Lions,16,Collingwood,0,2,2022-01-25 11:07:08,100,Full Time,+11:00,4,9239,Round 2,2008-03-28 18:40:00,2008,0,2008-03-28 19:40:00,2.0,Gabba,Brisbane Lions,18,13,96,2
1206772800,112,14,Hawthorn,16,Hawthorn,0,6,2022-01-25 11:07:08,100,Full Time,+11:00,10,9243,Round 2,2008-03-29 15:40:00,2008,0,2008-03-29 17:40:00,10.0,Subiaco,Fremantle,13,16,97,2
1206846600,51,22,Geelong,15,Essendon,0,7,2022-01-25 11:07:08,100,Full Time,+11:00,5,9245,Round 2,2008-03-30 14:10:00,2008,0,2008-03-30 14:10:00,7.0,Docklands,Geelong,18,6,150,2
1206760200,161,9,Western Bulldogs,17,Western Bulldogs,0,11,2022-01-25 11:07:08,100,Full Time,+11:00,18,9240,Round 2,2008-03-29 14:10:00,2008,0,2008-03-29 14:10:00,18.0,M.C.G.,Melbourne,12,24,66,2
1206855600,127,13,North Melbourne,7,North Melbourne,0,14,2022-01-25 11:07:08,100,Full Time,+11:00,12,9246,Round 2,2008-03-30 16:40:00,2008,0,2008-03-30 16:40:00,12.0,M.C.G.,Richmond,8,20,86,2
1206778200,85,19,St Kilda,13,Carlton,0,15,2022-01-25 11:07:08,100,Full Time,+11:00,3,9242,Round 2,2008-03-29 19:10:00,2008,0,2008-03-29 19:10:00,15.0,Docklands,St Kilda,11,12,125,2
1206843000,78,22,Sydney,12,Port Adelaide,0,16,2022-01-25 11:07:08,100,Full Time,+11:00,13,9244,Round 2,2008-03-30 13:10:00,2008,0,2008-03-30 13:10:00,16.0,S.C.G.,Sydney,14,11,146,2
1207462200,79,12,Adelaide,13,Port Adelaide,0,1,2022-01-25 11:07:08,100,Full Time,+10:00,13,9254,Round 3,2008-04-06 15:40:00,2008,0,2008-04-06 16:10:00,1.0,Football Park,Adelaide,13,11,85,3
1207379400,88,10,Sydney,10,Sydney,0,2,2022-01-25 11:07:08,100,Full Time,+11:00,16,9250,Round 3,2008-04-05 17:10:00,2008,0,2008-04-05 18:10:00,16.0,Gabba,Brisbane Lions,11,13,71,3
1207383000,134,23,Essendon,8,Carlton,0,5,2022-01-25 11:07:08,100,Full Time,+11:00,3,9251,Round 3,2008-04-05 19:10:00,2008,0,2008-04-05 19:10:00,5.0,M.C.G.,Essendon,12,21,150,3
1207451400,82,16,Geelong,10,Melbourne,0,7,2022-01-25 11:07:08,100,Full Time,+10:00,11,9252,Round 3,2008-04-06 13:10:00,2008,0,2008-04-06 13:10:00,7.0,Kardinia Park,Geelong,16,12,112,3
1207365000,102,13,Hawthorn,12,Hawthorn,0,12,2022-01-25 11:07:08,100,Full Time,+11:00,10,9248,Round 3,2008-04-05 14:10:00,2008,0,2008-04-05 14:10:00,10.0,Docklands,North Melbourne,8,15,86,3
1207455000,122,11,Collingwood,14,Collingwood,0,14,2022-01-25 11:07:08,100,Full Time,+10:00,4,9253,Round 3,2008-04-06 14:10:00,2008,0,2008-04-06 14:10:00,4.0,M.C.G.,Richmond,12,18,78,3
1207365000,87,10,Fremantle,15,Fremantle,0,17,2022-01-25 11:07:08,100,Full Time,+11:00,6,9249,Round 3,2008-04-05 11:10:00,2008,0,2008-04-05 14:10:00,6.0,Subiaco,West Coast,13,12,73,3
1207298400,87,19,Western Bulldogs,9,St Kilda,0,18,2022-01-25 11:07:08,100,Full Time,+11:00,15,9247,Round 3,2008-04-04 19:40:00,2008,0,2008-04-04 19:40:00,18.0,Docklands,Western Bulldogs,11,13,125,3
1208059800,88,17,Carlton,10,Collingwood,0,3,2022-01-25 11:07:08,100,Full Time,+10:00,4,9261,Round 4,2008-04-13 14:10:00,2008,0,2008-04-13 14:10:00,3.0,M.C.G.,Carlton,9,13,111,4
1207906800,128,14,Western Bulldogs,14,Western Bulldogs,0,5,2022-01-25 11:07:08,100,Full Time,+10:00,18,9255,Round 4,2008-04-11 19:40:00,2008,0,2008-04-11 19:40:00,18.0,Docklands,Essendon,14,19,98,4
1208061600,137,10,Richmond,17,Richmond,0,6,2022-01-25 11:07:08,100,Full Time,+10:00,14,9262,Round 4,2008-04-13 12:40:00,2008,0,2008-04-13 14:40:00,14.0,Subiaco,Fremantle,13,20,73,4
1208056200,70,17,Hawthorn,10,Adelaide,0,10,2022-01-25 11:07:08,100,Full Time,+10:00,1,9260,Round 4,2008-04-13 13:10:00,2008,0,2008-04-13 13:10:00,10.0,York Park,Hawthorn,12,10,114,4
1207973400,79,18,North Melbourne,13,Melbourne,0,12,2022-01-25 11:07:08,100,Full Time,+10:00,11,9257,Round 4,2008-04-12 14:10:00,2008,0,2008-04-12 14:10:00,12.0,M.C.G.,North Melbourne,19,11,127,4
