date,is_final,round,hscore,agoals,hbehinds,hteam,venue,winnerteamid,id,ateamid,year,localtime,roundname,updated,hteamid,is_grand_final,tz,complete,timestr,unixtime,abehinds,ateam,ascore,winner,hgoals
2009-03-28 18:10:00,0,1,95,13,11,Brisbane Lions,Gabba,2.0,9049,17,2009,2009-03-28 17:10:00,Round 1,2022-01-25 11:07:05,2,0,+11:00,100,Full Time,1238224200,8,West Coast,86,Brisbane Lions,14
2009-03-28 14:10:00,0,1,86,13,8,Collingwood,M.C.G.,1.0,9048,1,2009,2009-03-28 14:10:00,Round 1,2022-01-25 11:07:04,4,0,+11:00,100,Full Time,1238209800,12,Adelaide,90,Adelaide,13
2009-03-29 16:10:00,0,1,94,25,16,Fremantle,Subiaco,18.0,9053,18,2009,2009-03-29 13:10:00,Round 1,2022-01-25 11:07:05,6,0,+11:00,100,Full Time,1238303400,7,Western Bulldogs,157,Western Bulldogs,13
2009-03-27 19:40:00,0,1,103,15,7,Hawthorn,M.C.G.,7.0,9047,7,2009,2009-03-27 19:40:00,Round 1,2022-01-25 11:07:04,10,0,+11:00,100,Full Time,1238143200,21,Geelong,111,Geelong,16
2009-03-29 13:10:00,0,1,67,15,7,Melbourne,M.C.G.,12.0,9051,12,2009,2009-03-29 13:10:00,Round 1,2022-01-25 11:07:05,11,0,+11:00,100,Full Time,1238292600,11,North Melbourne,101,North Melbourne,10
2009-03-29 14:40:00,0,1,107,9,17,Port Adelaide,Football Park,13.0,9052,5,2009,2009-03-29 14:10:00,Round 1,2022-01-25 11:07:05,13,0,+11:00,100,Full Time,1238298000,12,Essendon,66,Port Adelaide,15
2009-03-26 19:40:00,0,1,67,23,13,Richmond,M.C.G.,3.0,9046,3,2009,2009-03-26 19:40:00,Round 1,2022-01-25 11:07:04,14,0,+11:00,100,Full Time,1238056800,12,Carlton,150,Carlton,9
2009-03-28 19:10:00,0,1,80,9,8,St Kilda,Docklands,15.0,9050,16,2009,2009-03-28 19:10:00,Round 1,2022-01-25 11:07:05,15,0,+11:00,100,Full Time,1238227800,11,Sydney,65,St Kilda,12
2009-04-03 19:40:00,0,2,69,15,9,Adelaide,Football Park,15.0,9054,15,2009,2009-04-03 19:10:00,Round 2,2022-01-25 11:07:05,1,0,+11:00,100,Full Time,1238748000,11,St Kilda,101,St Kilda,10
2009-04-04 19:10:00,0,2,119,15,11,Carlton,Docklands,3.0,9057,2,2009,2009-04-04 19:10:00,Round 2,2022-01-25 11:07:05,3,0,+11:00,100,Full Time,1238832600,10,Brisbane Lions,100,Carlton,18
