complete,timestr,tz,is_grand_final,updated,hteamid,hgoals,winner,ascore,abehinds,ateam,unixtime,hteam,venue,hbehinds,winnerteamid,round,hscore,agoals,is_final,date,localtime,year,roundname,id,ateamid
100,Full Time,+11:00,0,2022-01-25 11:05:42,2,16,Brisbane Lions,82,10,West Coast,1269677400,Brisbane Lions,Gabba,18,2.0,1,114,12,0,2010-03-27 19:10:00,2010-03-27 18:10:00,2010,Round 1,8864,17
100,Full Time,+11:00,0,2022-01-25 11:05:42,6,17,Fremantle,62,8,Adelaide,1269756600,Fremantle,Subiaco,16,6.0,1,118,9,0,2010-03-28 17:10:00,2010-03-28 14:10:00,2010,Round 1,8867,1
100,Full Time,+11:00,0,2022-01-25 11:05:42,7,19,Geelong,94,16,Essendon,1269592800,Geelong,M.C.G.,11,7.0,1,125,13,0,2010-03-26 19:40:00,2010-03-26 19:40:00,2010,Round 1,8861,5
100,Full Time,+11:00,0,2022-01-25 11:05:42,11,8,Hawthorn,117,15,Hawthorn,1269659400,Melbourne,M.C.G.,13,10.0,1,61,17,0,2010-03-27 14:10:00,2010-03-27 14:10:00,2010,Round 1,8862,10
100,Full Time,+11:00,0,2022-01-25 11:05:42,13,13,Port Adelaide,82,10,North Melbourne,1269740400,Port Adelaide,Football Park,18,13.0,1,96,12,0,2010-03-28 12:40:00,2010-03-28 12:10:00,2010,Round 1,8865,12
100,Full Time,+11:00,0,2022-01-25 11:05:42,14,9,Carlton,120,12,Carlton,1269504600,Richmond,M.C.G.,10,3.0,1,64,18,0,2010-03-25 19:10:00,2010-03-25 19:10:00,2010,Round 1,8860,3
100,Full Time,+11:00,0,2022-01-25 11:05:42,16,13,St Kilda,96,6,St Kilda,1269677400,Sydney,Stadium Australia,10,15.0,1,88,15,0,2010-03-27 19:10:00,2010-03-27 19:10:00,2010,Round 1,8863,15
100,Full Time,+11:00,0,2022-01-25 11:05:42,18,13,Collingwood,129,15,Collingwood,1269745800,Western Bulldogs,Docklands,15,4.0,1,93,19,0,2010-03-28 14:10:00,2010-03-28 14:10:00,2010,Round 1,8866,4
100,Full Time,+10:00,0,2022-01-25 11:05:42,1,11,Sydney,118,10,Sydney,1270348800,Adelaide,Football Park,9,16.0,2,75,18,0,2010-04-04 12:40:00,2010-04-04 12:10:00,2010,Round 2,8872,16
100,Full Time,+11:00,0,2022-01-25 11:05:42,2,16,Brisbane Lions,88,16,Carlton,1270111200,Brisbane Lions,Gabba,11,2.0,2,107,12,0,2010-04-01 19:40:00,2010-04-01 18:40:00,2010,Round 2,8868,3
100,Full Time,+11:00,0,2022-01-25 11:05:42,4,12,Collingwood,85,13,Melbourne,1270264200,Collingwood,M.C.G.,14,4.0,2,86,12,0,2010-04-03 14:10:00,2010-04-03 14:10:00,2010,Round 2,8869,11
100,Full Time,+10:00,0,2022-01-25 11:05:42,5,9,Fremantle,113,11,Fremantle,1270354200,Essendon,Docklands,15,6.0,2,69,17,0,2010-04-04 14:10:00,2010-04-04 14:10:00,2010,Round 2,8873,6
100,Full Time,+10:00,0,2022-01-25 11:05:42,10,13,Geelong,100,16,Geelong,1270440600,Hawthorn,M.C.G.,13,7.0,2,91,14,0,2010-04-05 14:10:00,2010-04-05 14:10:00,2010,Round 2,8875,7
100,Full Time,+10:00,0,2022-01-25 11:05:42,14,7,Western Bulldogs,120,18,Western Bulldogs,1270363200,Richmond,M.C.G.,6,18.0,2,48,17,0,2010-04-04 16:40:00,2010-04-04 16:40:00,2010,Round 2,8874,18
100,Full Time,+11:00,0,2022-01-25 11:05:42,15,23,St Kilda,39,3,North Melbourne,1270282200,St Kilda,Docklands,5,15.0,2,143,6,0,2010-04-03 19:10:00,2010-04-03 19:10:00,2010,Round 2,8870,12
100,Full Time,+11:00,0,2022-01-25 11:05:42,17,12,Port Adelaide,89,11,Port Adelaide,1270276800,West Coast,Subiaco,14,13.0,2,86,13,0,2010-04-03 17:40:00,2010-04-03 14:40:00,2010,Round 2,8871,13
100,Full Time,+10:00,0,2022-01-25 11:05:42,3,10,Essendon,95,17,Essendon,1270890600,Carlton,M.C.G.,15,5.0,3,75,13,0,2010-04-10 19:10:00,2010-04-10 19:10:00,2010,Round 3,8879,5
100,Full Time,+10:00,0,2022-01-25 11:05:42,6,18,Fremantle,118,16,Geelong,1270960800,Fremantle,Subiaco,17,6.0,3,125,17,0,2010-04-11 14:40:00,2010-04-11 12:40:00,2010,Round 3,8883,7
100,Full Time,+10:00,0,2022-01-25 11:05:42,11,7,Melbourne,41,11,Adelaide,1270955400,Melbourne,M.C.G.,15,11.0,3,57,5,0,2010-04-11 13:10:00,2010-04-11 13:10:00,2010,Round 3,8881,1
100,Full Time,+10:00,0,2022-01-25 11:05:42,12,17,North Melbourne,91,13,West Coast,1270872600,North Melbourne,Docklands,14,12.0,3,116,13,0,2010-04-10 14:10:00,2010-04-10 14:10:00,2010,Round 3,8877,17
100,Full Time,+10:00,0,2022-01-25 11:05:42,13,11,Brisbane Lions,108,12,Brisbane Lions,1270874400,Port Adelaide,Football Park,15,2.0,3,81,16,0,2010-04-10 14:40:00,2010-04-10 14:10:00,2010,Round 3,8878,2
100,Full Time,+10:00,0,2022-01-25 11:05:42,15,10,St Kilda,41,17,Collingwood,1270806000,St Kilda,Docklands,9,15.0,3,69,4,0,2010-04-09 19:40:00,2010-04-09 19:40:00,2010,Round 3,8876,4
100,Full Time,+10:00,0,2022-01-25 11:05:42,16,16,Sydney,56,14,Richmond,1270890600,Sydney,S.C.G.,15,16.0,3,111,7,0,2010-04-10 19:10:00,2010-04-10 19:10:00,2010,Round 3,8880,14
100,Full Time,+10:00,0,2022-01-25 11:05:42,18,14,Western Bulldogs,84,12,Hawthorn,1270959000,Western Bulldogs,Docklands,16,18.0,3,100,12,0,2010-04-11 14:10:00,2010-04-11 14:10:00,2010,Round 3,8882,10
100,Full Time,+10:00,0,2022-01-25 11:05:42,1,6,Carlton,103,7,Carlton,1271479200,Adelaide,Football Park,19,3.0,4,55,16,0,2010-04-17 14:40:00,2010-04-17 14:10:00,2010,Round 4,8886,3
100,Full Time,+10:00,0,2022-01-25 11:05:42,2,13,Brisbane Lions,79,7,Western Bulldogs,1271495400,Brisbane Lions,Gabba,23,2.0,4,101,12,0,2010-04-17 19:10:00,2010-04-17 19:10:00,2010,Round 4,8888,18
100,Full Time,+10:00,0,2022-01-25 11:05:42,4,17,Collingwood,59,11,Hawthorn,1271495400,Collingwood,M.C.G.,21,4.0,4,123,8,0,2010-04-17 19:10:00,2010-04-17 19:10:00,2010,Round 4,8887,10
100,Full Time,+10:00,0,2022-01-25 11:05:42,7,23,Geelong,64,4,Port Adelaide,1271563800,Geelong,Kardinia Park,21,7.0,4,159,10,0,2010-04-18 14:10:00,2010-04-18 14:10:00,2010,Round 4,8890,13
100,Full Time,+10:00,0,2022-01-25 11:05:42,12,8,Sydney,100,16,Sydney,1271477400,North Melbourne,Docklands,12,16.0,4,60,14,0,2010-04-17 14:10:00,2010-04-17 14:10:00,2010,Round 4,8885,16
100,Full Time,+10:00,0,2022-01-25 11:05:42,14,11,Melbourne,133,13,Melbourne,1271560200,Richmond,M.C.G.,12,11.0,4,78,20,0,2010-04-18 13:10:00,2010-04-18 13:10:00,2010,Round 4,8889,11
100,Full Time,+10:00,0,2022-01-25 11:05:42,15,16,St Kilda,93,9,Fremantle,1271572800,St Kilda,Docklands,12,15.0,4,108,14,0,2010-04-18 16:40:00,2010-04-18 16:40:00,2010,Round 4,8891,6
100,Full Time,+10:00,0,2022-01-25 11:05:42,17,15,West Coast,78,12,Essendon,1271407200,West Coast,Subiaco,11,17.0,4,101,11,0,2010-04-16 18:40:00,2010-04-16 16:40:00,2010,Round 4,8884,5
100,Full Time,+10:00,0,2022-01-25 11:05:42,3,15,Carlton,68,14,Geelong,1272255000,Carlton,M.C.G.,14,3.0,5,104,9,0,2010-04-26 14:10:00,2010-04-26 14:10:00,2010,Round 5,8899,7
100,Full Time,+10:00,0,2022-01-25 11:05:42,4,18,Collingwood,55,7,Essendon,1272170400,Collingwood,M.C.G.,12,4.0,5,120,8,0,2010-04-25 14:40:00,2010-04-25 14:40:00,2010,Round 5,8896,5
100,Full Time,+10:00,0,2022-01-25 11:05:42,6,15,Fremantle,73,7,Richmond,1272185100,Fremantle,Subiaco,22,6.0,5,112,11,0,2010-04-25 18:45:00,2010-04-25 16:45:00,2010,Round 5,8898,14
100,Full Time,+10:00,0,2022-01-25 11:05:42,10,10,North Melbourne,82,10,North Melbourne,1272181200,Hawthorn,York Park,10,12.0,5,70,12,0,2010-04-25 17:40:00,2010-04-25 17:40:00,2010,Round 5,8897,12
100,Full Time,+10:00,0,2022-01-25 11:05:42,11,15,Melbourne,53,11,Brisbane Lions,1272100200,Melbourne,M.C.G.,13,11.0,5,103,7,0,2010-04-24 19:10:00,2010-04-24 19:10:00,2010,Round 5,8894,2
100,Full Time,+10:00,0,2022-01-25 11:05:42,13,7,Port Adelaide,44,8,St Kilda,1272100500,Port Adelaide,Football Park,12,13.0,5,54,6,0,2010-04-24 19:15:00,2010-04-24 18:45:00,2010,Round 5,8895,15
100,Full Time,+10:00,0,2022-01-25 11:05:42,16,17,Sydney,63,9,West Coast,1272082500,Sydney,S.C.G.,13,16.0,5,115,9,0,2010-04-24 14:15:00,2010-04-24 14:15:00,2010,Round 5,8893,17
100,Full Time,+10:00,0,2022-01-25 11:05:42,18,18,Western Bulldogs,72,12,Adelaide,1272015600,Western Bulldogs,Docklands,13,18.0,5,121,10,0,2010-04-23 19:40:00,2010-04-23 19:40:00,2010,Round 5,8892,1
100,Full Time,+10:00,0,2022-01-25 11:05:42,1,10,Port Adelaide,97,13,Port Adelaide,1272688800,Adelaide,Football Park,14,13.0,6,74,14,0,2010-05-01 14:40:00,2010-05-01 14:10:00,2010,Round 6,8902,13
100,Full Time,+10:00,0,2022-01-25 11:05:42,3,16,Collingwood,155,11,Collingwood,1272773400,Carlton,M.C.G.,6,4.0,6,102,24,0,2010-05-02 14:10:00,2010-05-02 14:10:00,2010,Round 6,8906,4
100,Full Time,+10:00,0,2022-01-25 11:05:42,5,15,Essendon,63,9,Hawthorn,1272705000,Essendon,M.C.G.,16,5.0,6,106,9,0,2010-05-01 19:10:00,2010-05-01 19:10:00,2010,Round 6,8903,10
