roundname,localtime,year,ateamid,id,winnerteamid,venue,hbehinds,hteam,agoals,hscore,round,is_final,date,winner,ascore,hgoals,abehinds,ateam,unixtime,complete,timestr,tz,is_grand_final,hteamid,updated
Round 1,2011-03-26 19:10:00,2011,10,1062,1.0,Football Park,9,Adelaide,12,105,1,0,2011-03-26 19:40:00,Adelaide,85,16,13,Hawthorn,1301128800,100,Full Time,+11:00,0,1,2018-06-26 12:16:44
Round 1,2011-03-26 19:10:00,2011,6,1063,6.0,Gabba,8,Brisbane Lions,13,92,1,0,2011-03-26 20:10:00,Fremantle,94,14,16,Fremantle,1301130600,100,Full Time,+11:00,0,2,2018-06-26 12:16:44
Round 1,2011-03-24 19:40:00,2011,14,1059,3.0,M.C.G.,20,Carlton,13,104,1,0,2011-03-24 19:40:00,Carlton,84,14,6,Richmond,1300956000,100,Full Time,+11:00,0,3,2018-06-26 12:16:44
Round 1,2011-03-26 14:10:00,2011,13,1061,4.0,Docklands,11,Collingwood,12,155,1,0,2011-03-26 14:10:00,Collingwood,80,24,8,Port Adelaide,1301109000,100,Full Time,+11:00,0,4,2018-06-26 12:16:44
Round 1,2011-03-27 13:10:00,2011,18,1064,5.0,Docklands,17,Essendon,8,113,1,0,2011-03-27 13:10:00,Essendon,58,16,10,Western Bulldogs,1301191800,100,Full Time,+11:00,0,5,2018-06-26 12:16:44
Round 1,2011-03-25 19:45:00,2011,15,1060,7.0,M.C.G.,12,Geelong,6,48,1,0,2011-03-25 19:45:00,Geelong,47,6,11,St Kilda,1301042700,100,Full Time,+11:00,0,7,2018-06-26 12:16:44
Round 1,2011-03-27 14:10:00,2011,16,1065,,M.C.G.,18,Melbourne,11,84,1,0,2011-03-27 14:10:00,,84,11,18,Sydney,1301195400,100,Full Time,+11:00,0,11,2018-06-26 12:16:44
Round 1,2011-03-27 16:10:00,2011,12,1066,17.0,Subiaco,14,West Coast,13,92,1,0,2011-03-27 19:10:00,West Coast,88,13,10,North Melbourne,1301213400,100,Full Time,+11:00,0,17,2018-06-26 12:16:44
Round 2,2011-04-02 17:40:00,2011,7,1081,7.0,Subiaco,18,Fremantle,13,78,2,0,2011-04-02 20:40:00,Geelong,89,10,11,Geelong,1301737200,100,Full Time,+11:00,0,6,2018-06-26 12:16:45
Round 2,2011-04-02 18:50:00,2011,3,1080,3.0,Gabba,10,Gold Coast,26,52,2,0,2011-04-02 19:50:00,Carlton,171,7,15,Carlton,1301734200,100,Full Time,+11:00,0,8,2018-06-26 12:16:45
Round 2,2011-04-03 16:40:00,2011,11,1084,10.0,M.C.G.,26,Hawthorn,12,122,2,0,2011-04-03 16:40:00,Hawthorn,77,16,5,Melbourne,1301812800,100,Full Time,+10:00,0,10,2018-06-26 12:16:45
Round 2,2011-04-02 14:10:00,2011,4,1068,4.0,Docklands,14,North Melbourne,21,56,2,0,2011-04-02 14:10:00,Collingwood,143,7,17,Collingwood,1301713800,100,Full Time,+11:00,0,12,2018-06-26 12:16:44
Round 2,2011-04-02 14:40:00,2011,17,1079,17.0,Football Park,8,Port Adelaide,16,98,2,0,2011-04-02 15:10:00,West Coast,116,15,20,West Coast,1301717400,100,Full Time,+11:00,0,13,2018-06-26 12:16:45
Round 2,2011-04-01 19:40:00,2011,14,1067,,M.C.G.,17,St Kilda,14,95,2,0,2011-04-01 19:40:00,,95,13,11,Richmond,1301647200,100,Full Time,+11:00,0,15,2018-06-26 12:16:44
Round 2,2011-04-03 14:10:00,2011,5,1083,16.0,Stadium Australia,14,Sydney,13,98,2,0,2011-04-03 14:10:00,Sydney,93,14,15,Essendon,1301803800,100,Full Time,+10:00,0,16,2018-06-26 12:16:45
Round 2,2011-04-03 13:10:00,2011,2,1082,18.0,Docklands,9,Western Bulldogs,6,123,2,0,2011-04-03 13:10:00,Western Bulldogs,45,19,9,Brisbane Lions,1301800200,100,Full Time,+10:00,0,18,2018-06-26 12:16:45
Round 3,2011-04-09 14:40:00,2011,6,1104,6.0,Football Park,12,Adelaide,11,54,3,0,2011-04-09 15:10:00,Fremantle,79,7,13,Fremantle,1302325800,100,Full Time,+10:00,0,1,2018-06-26 12:16:45
Round 3,2011-04-08 19:50:00,2011,3,1085,4.0,M.C.G.,12,Collingwood,11,102,3,0,2011-04-08 19:50:00,Collingwood,74,15,8,Carlton,1302256200,100,Full Time,+10:00,0,4,2018-06-26 12:16:45
Round 3,2011-04-10 14:10:00,2011,13,1140,7.0,GMHBA Stadium,20,Geelong,6,122,3,0,2011-04-10 14:10:00,Geelong,43,17,7,Port Adelaide,1302408600,100,Full Time,+10:00,0,7,2018-06-26 12:16:45
Round 3,2011-04-10 13:10:00,2011,2,1139,11.0,M.C.G.,10,Melbourne,11,82,3,0,2011-04-10 13:10:00,Melbourne,71,12,5,Brisbane Lions,1302405000,100,Full Time,+10:00,0,11,2018-06-26 12:16:45
Round 3,2011-04-09 19:10:00,2011,10,1105,10.0,M.C.G.,16,Richmond,17,52,3,0,2011-04-09 19:10:00,Hawthorn,115,6,13,Hawthorn,1302340200,100,Full Time,+10:00,0,14,2018-06-26 12:16:45
Round 3,2011-04-10 16:40:00,2011,5,1141,5.0,Docklands,12,St Kilda,21,84,3,0,2011-04-10 16:40:00,Essendon,136,12,10,Essendon,1302417600,100,Full Time,+10:00,0,15,2018-06-26 12:16:45
Round 3,2011-04-09 18:10:00,2011,16,1138,16.0,Subiaco,10,West Coast,15,88,3,0,2011-04-09 20:10:00,Sydney,101,13,11,Sydney,1302343800,100,Full Time,+10:00,0,17,2018-06-26 12:16:45
Round 3,2011-04-09 14:10:00,2011,8,1103,18.0,Docklands,14,Western Bulldogs,7,122,3,0,2011-04-09 14:10:00,Western Bulldogs,51,18,9,Gold Coast,1302322200,100,Full Time,+10:00,0,18,2018-06-26 12:16:45
Round 4,2011-04-16 14:10:00,2011,5,1144,,M.C.G.,13,Carlton,11,79,4,0,2011-04-16 14:10:00,,79,11,13,Essendon,1302927000,100,Full Time,+10:00,0,3,2018-06-26 12:16:45
Round 4,2011-04-17 14:40:00,2011,12,1152,6.0,Subiaco,19,Fremantle,14,127,4,0,2011-04-17 16:40:00,Fremantle,98,18,14,North Melbourne,1303022400,100,Full Time,+10:00,0,6,2018-06-26 12:16:46
Round 4,2011-04-17 14:10:00,2011,11,1151,11.0,Gabba,15,Gold Coast,23,69,4,0,2011-04-17 14:10:00,Melbourne,159,9,21,Melbourne,1303013400,100,Full Time,+10:00,0,8,2018-06-26 12:16:46
Round 4,2011-04-16 14:10:00,2011,17,1143,10.0,University of Tasmania Stadium,12,Hawthorn,9,72,4,0,2011-04-16 14:10:00,Hawthorn,65,10,11,West Coast,1302927000,100,Full Time,+10:00,0,10,2018-06-26 12:16:45
Round 4,2011-04-16 19:10:00,2011,1,1150,13.0,Football Park,14,Port Adelaide,9,98,4,0,2011-04-16 19:40:00,Port Adelaide,66,14,12,Adelaide,1302946800,100,Full Time,+10:00,0,13,2018-06-26 12:16:46
Round 4,2011-04-15 19:40:00,2011,4,1142,4.0,M.C.G.,12,Richmond,24,90,4,0,2011-04-15 19:40:00,Collingwood,161,13,17,Collingwood,1302860400,100,Full Time,+10:00,0,14,2018-06-26 12:16:45
Round 4,2011-04-16 19:10:00,2011,7,1145,7.0,S.C.G.,12,Sydney,11,54,4,0,2011-04-16 19:10:00,Geelong,81,7,15,Geelong,1302945000,100,Full Time,+10:00,0,16,2018-06-26 12:16:45
Round 5,2011-04-21 19:45:00,2011,15,1153,15.0,Gabba,10,Brisbane Lions,13,76,5,0,2011-04-21 19:45:00,St Kilda,89,11,11,St Kilda,1303379100,100,Full Time,+10:00,0,2,2018-06-26 12:16:46
Round 5,2011-04-23 19:10:00,2011,1,1155,3.0,Docklands,19,Carlton,12,85,5,0,2011-04-23 19:10:00,Carlton,79,11,7,Adelaide,1303549800,100,Full Time,+10:00,0,3,2018-06-26 12:16:46
Round 5,2011-04-25 14:40:00,2011,4,1157,4.0,M.C.G.,11,Essendon,16,77,5,0,2011-04-25 14:40:00,Collingwood,107,11,11,Collingwood,1303706400,100,Full Time,+10:00,0,5,2018-06-26 12:16:46
Round 5,2011-04-25 18:45:00,2011,18,1158,6.0,Subiaco,13,Fremantle,11,85,5,0,2011-04-25 20:45:00,Fremantle,78,12,12,Western Bulldogs,1303728300,100,Full Time,+10:00,0,6,2018-06-26 12:16:46
Round 5,2011-04-26 14:40:00,2011,7,1159,7.0,M.C.G.,8,Hawthorn,17,98,5,0,2011-04-26 14:40:00,Geelong,117,15,15,Geelong,1303792800,100,Full Time,+10:00,0,10,2018-06-26 12:16:46
Round 5,2011-04-24 16:40:00,2011,14,1156,14.0,Docklands,19,North Melbourne,17,103,5,0,2011-04-24 16:40:00,Richmond,112,14,10,Richmond,1303627200,100,Full Time,+10:00,0,12,2018-06-26 12:16:46
Round 5,2011-04-23 14:45:00,2011,8,1154,8.0,Football Park,11,Port Adelaide,15,101,5,0,2011-04-23 15:15:00,Gold Coast,104,15,14,Gold Coast,1303535700,100,Full Time,+10:00,0,13,2018-06-26 12:16:46
Round 6,2011-04-30 19:10:00,2011,15,1164,1.0,Football Park,12,Adelaide,9,90,6,0,2011-04-30 19:40:00,Adelaide,71,13,17,St Kilda,1304156400,100,Full Time,+10:00,0,1,2018-06-26 12:16:46
Round 6,2011-05-01 16:40:00,2011,18,1179,4.0,M.C.G.,15,Collingwood,8,105,6,0,2011-05-01 16:40:00,Collingwood,57,15,9,Western Bulldogs,1304232000,100,Full Time,+10:00,0,4,2018-06-26 12:16:46
Round 6,2011-05-01 13:10:00,2011,8,1165,5.0,Docklands,11,Essendon,8,197,6,0,2011-05-01 13:10:00,Essendon,58,31,10,Gold Coast,1304219400,100,Full Time,+10:00,0,5,2018-06-26 12:16:46
Round 6,2011-04-30 14:10:00,2011,13,1162,12.0,Docklands,25,North Melbourne,10,133,6,0,2011-04-30 14:10:00,North Melbourne,73,18,13,Port Adelaide,1304136600,100,Full Time,+10:00,0,12,2018-06-26 12:16:46
Round 6,2011-04-30 19:10:00,2011,2,1163,14.0,M.C.G.,16,Richmond,14,124,6,0,2011-04-30 19:10:00,Richmond,98,18,14,Brisbane Lions,1304154600,100,Full Time,+10:00,0,14,2018-06-26 12:16:46
Round 6,2011-04-29 19:40:00,2011,3,1161,3.0,S.C.G.,11,Sydney,12,71,6,0,2011-04-29 19:40:00,Carlton,87,10,15,Carlton,1304070000,100,Full Time,+10:00,0,16,2018-06-26 12:16:46
Round 6,2011-04-28 18:40:00,2011,11,1160,17.0,Subiaco,16,West Coast,6,106,6,0,2011-04-28 20:40:00,West Coast,52,15,16,Melbourne,1303987200,100,Full Time,+10:00,0,17,2018-06-26 12:16:46
Round 7,2011-05-08 13:10:00,2011,17,1185,5.0,Docklands,10,Essendon,12,106,7,0,2011-05-08 13:10:00,Essendon,90,16,18,West Coast,1304824200,100,Full Time,+10:00,0,5,2018-06-26 12:16:46
Round 7,2011-05-07 14:10:00,2011,12,1182,7.0,GMHBA Stadium,13,Geelong,9,127,7,0,2011-05-07 14:10:00,Geelong,61,19,7,North Melbourne,1304741400,100,Full Time,+10:00,0,7,2018-06-26 12:16:46
Round 7,2011-05-07 19:10:00,2011,2,1184,8.0,Gabba,16,Gold Coast,17,124,7,0,2011-05-07 19:10:00,Gold Coast,116,18,14,Brisbane Lions,1304759400,100,Full Time,+10:00,0,8,2018-06-26 12:16:46
Round 7,2011-05-08 14:10:00,2011,1,1193,11.0,M.C.G.,17,Melbourne,8,149,7,0,2011-05-08 14:10:00,Melbourne,53,22,5,Adelaide,1304827800,100,Full Time,+10:00,0,11,2018-06-26 12:16:46
Round 7,2011-05-06 20:10:00,2011,10,1180,10.0,Football Park,12,Port Adelaide,15,72,7,0,2011-05-06 20:40:00,Hawthorn,104,10,14,Hawthorn,1304678400,100,Full Time,+10:00,0,13,2018-06-26 12:16:46
Round 7,2011-05-07 16:10:00,2011,6,1183,14.0,M.C.G.,10,Richmond,14,148,7,0,2011-05-07 16:10:00,Richmond,99,23,15,Fremantle,1304748600,100,Full Time,+10:00,0,14,2018-06-26 12:16:46
Round 7,2011-05-09 19:20:00,2011,3,1194,3.0,Docklands,9,St Kilda,11,81,7,0,2011-05-09 19:20:00,Carlton,84,12,18,Carlton,1304932800,100,Full Time,+10:00,0,15,2018-06-26 12:16:46
Round 7,2011-05-07 13:10:00,2011,16,1181,16.0,UNSW Canberra Oval,5,Western Bulldogs,10,65,7,0,2011-05-07 13:10:00,Sydney,73,10,13,Sydney,1304737800,100,Full Time,+10:00,0,18,2018-06-26 12:16:46
Round 8,2011-05-14 14:40:00,2011,8,1197,1.0,Football Park,10,Adelaide,9,130,8,0,2011-05-14 15:10:00,Adelaide,73,20,19,Gold Coast,1305349800,100,Full Time,+10:00,0,1,2018-06-26 12:16:46
Round 8,2011-05-14 19:10:00,2011,5,1198,5.0,Gabba,12,Brisbane Lions,15,66,8,0,2011-05-14 19:10:00,Essendon,102,9,12,Essendon,1305364200,100,Full Time,+10:00,0,2,2018-06-26 12:16:46
Round 8,2011-05-13 19:40:00,2011,4,1195,7.0,M.C.G.,17,Geelong,9,65,8,0,2011-05-13 19:40:00,Geelong,62,8,8,Collingwood,1305279600,100,Full Time,+10:00,0,7,2018-06-26 12:16:46
Round 8,2011-05-15 13:10:00,2011,15,1200,10.0,M.C.G.,15,Hawthorn,10,99,8,0,2011-05-15 13:10:00,Hawthorn,69,14,9,St Kilda,1305429000,100,Full Time,+10:00,0,10,2018-06-26 12:16:46
Round 8,2011-05-14 14:10:00,2011,11,1196,12.0,Docklands,10,North Melbourne,12,124,8,0,2011-05-14 14:10:00,North Melbourne,83,19,11,Melbourne,1305346200,100,Full Time,+10:00,0,12,2018-06-26 12:16:46
Round 8,2011-05-14 19:40:00,2011,13,1199,16.0,S.C.G.,13,Sydney,9,121,8,0,2011-05-14 19:40:00,Sydney,59,18,5,Port Adelaide,1305366000,100,Full Time,+10:00,0,16,2018-06-26 12:16:46
Round 8,2011-05-15 14:40:00,2011,6,1202,17.0,Subiaco,12,West Coast,9,96,8,0,2011-05-15 16:40:00,West Coast,63,14,9,Fremantle,1305441600,100,Full Time,+10:00,0,17,2018-06-26 12:16:46
Round 8,2011-05-15 14:10:00,2011,14,1201,18.0,Docklands,15,Western Bulldogs,18,153,8,0,2011-05-15 14:10:00,Western Bulldogs,118,23,10,Richmond,1305432600,100,Full Time,+10:00,0,18,2018-06-26 12:16:46
Round 9,2011-05-21 19:40:00,2011,12,1217,2.0,Gabba,13,Brisbane Lions,8,73,9,0,2011-05-21 19:40:00,Brisbane Lions,59,10,11,North Melbourne,1305970800,100,Full Time,+10:00,0,2,2018-06-26 12:16:47
Round 9,2011-05-20 19:40:00,2011,7,1203,7.0,Docklands,16,Carlton,15,100,9,0,2011-05-20 19:40:00,Geelong,102,14,12,Geelong,1305884400,100,Full Time,+10:00,0,3,2018-06-26 12:16:46
Round 9,2011-05-22 13:10:00,2011,1,1219,4.0,Docklands,15,Collingwood,14,135,9,0,2011-05-22 13:10:00,Collingwood,92,20,8,Adelaide,1306033800,100,Full Time,+10:00,0,4,2018-06-26 12:16:47
Round 9,2011-05-21 14:10:00,2011,6,1205,6.0,Football Park,6,Port Adelaide,21,90,9,0,2011-05-21 14:40:00,Fremantle,142,14,16,Fremantle,1305952800,100,Full Time,+10:00,0,13,2018-06-26 12:16:46
Round 9,2011-05-21 19:40:00,2011,5,1218,14.0,M.C.G.,9,Richmond,13,105,9,0,2011-05-21 19:40:00,Richmond,89,16,11,Essendon,1305970800,100,Full Time,+10:00,0,14,2018-06-26 12:16:47
Round 9,2011-05-21 14:10:00,2011,11,1204,15.0,Docklands,10,St Kilda,13,106,9,0,2011-05-21 14:10:00,St Kilda,86,16,8,Melbourne,1305951000,100,Full Time,+10:00,0,15,2018-06-26 12:16:46
Round 9,2011-05-22 14:10:00,2011,10,1220,10.0,S.C.G.,12,Sydney,15,60,9,0,2011-05-22 14:10:00,Hawthorn,106,8,16,Hawthorn,1306037400,100,Full Time,+10:00,0,16,2018-06-26 12:16:47
Round 9,2011-05-22 14:40:00,2011,18,1221,17.0,Subiaco,19,West Coast,8,175,9,0,2011-05-22 16:40:00,West Coast,52,26,4,Western Bulldogs,1306046400,100,Full Time,+10:00,0,17,2018-06-26 12:16:47
Round 10,2011-05-29 12:40:00,2011,2,1238,2.0,Football Park,13,Adelaide,15,61,10,0,2011-05-29 13:10:00,Brisbane Lions,101,8,11,Brisbane Lions,1306638600,100,Full Time,+10:00,0,1,2018-06-26 12:16:47
Round 10,2011-05-29 14:10:00,2011,17,1239,4.0,M.C.G.,9,Collingwood,7,105,10,0,2011-05-29 14:10:00,Collingwood,53,16,11,West Coast,1306642200,100,Full Time,+10:00,0,4,2018-06-26 12:16:47
Round 10,2011-05-28 13:10:00,2011,15,1224,15.0,Subiaco,14,Fremantle,15,56,10,0,2011-05-28 15:10:00,St Kilda,102,7,12,St Kilda,1306559400,100,Full Time,+10:00,0,6,2018-06-26 12:16:47
Round 10,2011-05-28 19:20:00,2011,7,1225,7.0,Carrara,13,Gold Coast,21,73,10,0,2011-05-28 19:20:00,Geelong,139,10,13,Geelong,1306574400,100,Full Time,+10:00,0,8,2018-06-26 12:16:47
Round 10,2011-05-27 19:40:00,2011,3,1222,3.0,M.C.G.,10,Melbourne,13,46,10,0,2011-05-27 19:40:00,Carlton,93,6,15,Carlton,1306489200,100,Full Time,+10:00,0,11,2018-06-26 12:16:47
Round 10,2011-05-28 14:10:00,2011,16,1223,16.0,Docklands,17,North Melbourne,10,71,10,0,2011-05-28 14:10:00,Sydney,72,9,12,Sydney,1306555800,100,Full Time,+10:00,0,12,2018-06-26 12:16:47
Round 10,2011-05-28 20:10:00,2011,13,1237,13.0,Marrara Oval,14,Richmond,13,74,10,0,2011-05-28 20:40:00,Port Adelaide,89,10,11,Port Adelaide,1306579200,100,Full Time,+10:00,0,14,2018-06-26 12:16:47
Round 10,2011-05-29 16:40:00,2011,10,1240,10.0,Docklands,8,Western Bulldogs,13,62,10,0,2011-05-29 16:40:00,Hawthorn,91,9,13,Hawthorn,1306651200,100,Full Time,+10:00,0,18,2018-06-26 12:16:47
Round 11,2011-06-04 19:40:00,2011,16,1245,16.0,Gabba,9,Brisbane Lions,17,51,11,0,2011-06-04 19:40:00,Sydney,116,7,14,Sydney,1307180400,100,Full Time,+10:00,0,2,2018-06-26 12:16:47
