ateam,abehinds,winner,hgoals,ascore,unixtime,tz,timestr,complete,hteamid,updated,is_grand_final,roundname,localtime,year,ateamid,id,hscore,agoals,round,winnerteamid,venue,hbehinds,hteam,date,is_final
Geelong,11,Fremantle,16,101,1333183500,+11:00,Full Time,100,6,2018-06-26 12:17:05,0,Round 1,2012-03-31 16:45:00,2012,7,1463,105,15,1,6.0,Subiaco,9,Fremantle,2012-03-31 19:45:00,0
Adelaide,23,Adelaide,10,137,1333172700,+11:00,Full Time,100,8,2018-06-26 12:17:05,0,Round 1,2012-03-31 15:45:00,2012,1,1461,68,19,1,1.0,Carrara,8,Gold Coast,2012-03-31 16:45:00,0
Sydney,16,Sydney,5,100,1332577200,+11:00,Full Time,100,9,2018-06-26 12:17:05,0,Round 1,2012-03-24 19:20:00,2012,16,1456,37,14,1,16.0,Stadium Australia,7,Greater Western Sydney,2012-03-24 19:20:00,0
Collingwood,19,Hawthorn,20,115,1333097400,+11:00,Full Time,100,10,2018-06-26 12:17:05,0,Round 1,2012-03-30 19:50:00,2012,4,1459,137,16,1,10.0,M.C.G.,17,Hawthorn,2012-03-30 19:50:00,0
Brisbane Lions,17,Brisbane Lions,11,119,1333161900,+11:00,Full Time,100,11,2018-06-26 12:17:05,0,Round 1,2012-03-31 13:45:00,2012,2,1460,78,17,1,2.0,M.C.G.,12,Melbourne,2012-03-31 13:45:00,0
Essendon,20,Essendon,15,104,1333183500,+11:00,Full Time,100,12,2018-06-26 12:17:05,0,Round 1,2012-03-31 19:45:00,2012,5,1462,102,14,1,5.0,Docklands,12,North Melbourne,2012-03-31 19:45:00,0
St Kilda,7,Port Adelaide,13,85,1333262400,+10:00,Full Time,100,13,2018-06-26 12:17:05,0,Round 1,2012-04-01 16:10:00,2012,15,1465,89,13,1,13.0,Football Park,11,Port Adelaide,2012-04-01 16:40:00,0
Carlton,17,Carlton,12,125,1333010700,+11:00,Full Time,100,14,2018-06-26 12:17:05,0,Round 1,2012-03-29 19:45:00,2012,3,1458,81,18,1,3.0,M.C.G.,9,Richmond,2012-03-29 19:45:00,0
West Coast,10,West Coast,12,136,1333249800,+10:00,Full Time,100,18,2018-06-26 12:17:05,0,Round 1,2012-04-01 13:10:00,2012,17,1464,87,21,1,17.0,Docklands,15,Western Bulldogs,2012-04-01 13:10:00,0
Western Bulldogs,10,Adelaide,11,64,1333791600,+10:00,Full Time,100,1,2018-06-26 12:17:05,0,Round 2,2012-04-07 19:10:00,2012,18,1471,82,9,2,1.0,Football Park,16,Adelaide,2012-04-07 19:40:00,0
