unixtime,ascore,winner,hgoals,abehinds,ateam,is_grand_final,updated,hteamid,complete,timestr,tz,id,ateamid,year,localtime,roundname,is_final,date,venue,hbehinds,hteam,winnerteamid,round,agoals,hscore
1363945200,117,Essendon,11,9,Essendon,0,2018-06-26 12:17:16,1,100,Full Time,+11:00,1826,5,2013,2013-03-22 20:10:00,Round 1,0,2013-03-22 20:40:00,Football Park,16,Adelaide,5.0,1,18,82
1364460000,106,Richmond,14,22,Richmond,0,2018-06-26 12:17:17,3,100,Full Time,+11:00,1829,14,2013,2013-03-28 19:40:00,Round 1,0,2013-03-28 19:40:00,M.C.G.,17,Carlton,14.0,1,14,101
1364028000,80,Fremantle,16,14,West Coast,0,2018-06-26 12:17:17,6,100,Full Time,+11:00,1828,17,2013,2013-03-23 16:40:00,Round 1,0,2013-03-23 19:40:00,Subiaco,12,Fremantle,6.0,1,11,108
1364633100,77,Gold Coast,13,17,St Kilda,0,2018-06-26 12:17:17,8,100,Full Time,+11:00,1832,15,2013,2013-03-30 18:45:00,Round 1,0,2013-03-30 19:45:00,Carrara,12,Gold Coast,8.0,1,10,90
1364622000,106,Sydney,11,10,Sydney,0,2018-06-26 12:17:17,9,100,Full Time,+11:00,1831,16,2013,2013-03-30 16:40:00,Round 1,0,2013-03-30 16:40:00,Stadium Australia,10,Greater Western Sydney,16.0,1,16,76
1364790000,93,Geelong,12,15,Geelong,0,2018-06-26 12:17:17,10,100,Full Time,+11:00,1835,7,2013,2013-04-01 15:20:00,Round 1,0,2013-04-01 15:20:00,M.C.G.,14,Hawthorn,7.0,1,13,86
1364695800,133,Port Adelaide,8,19,Port Adelaide,0,2018-06-26 12:17:17,11,100,Full Time,+11:00,1833,13,2013,2013-03-31 13:10:00,Round 1,0,2013-03-31 13:10:00,M.C.G.,6,Melbourne,13.0,1,19,54
1364708400,103,Collingwood,13,13,Collingwood,0,2018-06-26 12:17:17,12,100,Full Time,+11:00,1834,4,2013,2013-03-31 16:40:00,Round 1,0,2013-03-31 16:40:00,Docklands,9,North Melbourne,4.0,1,15,87
1364611200,59,Western Bulldogs,19,17,Brisbane Lions,0,2018-06-26 12:17:17,18,100,Full Time,+11:00,1830,2,2013,2013-03-30 13:40:00,Round 1,0,2013-03-30 13:40:00,Docklands,13,Western Bulldogs,18.0,1,7,127
1365226800,96,Adelaide,10,12,Adelaide,0,2018-06-26 12:17:17,2,100,Full Time,+11:00,1839,1,2013,2013-04-06 15:40:00,Round 2,0,2013-04-06 16:40:00,Gabba,17,Brisbane Lions,1.0,2,14,77
1365312000,100,Collingwood,17,10,Carlton,0,2018-06-26 12:17:17,4,100,Full Time,+10:00,1843,3,2013,2013-04-07 15:20:00,Round 2,0,2013-04-07 15:20:00,M.C.G.,15,Collingwood,4.0,2,15,117
1365237600,36,Essendon,28,6,Melbourne,0,2018-06-26 12:17:17,5,100,Full Time,+11:00,1841,11,2013,2013-04-06 19:40:00,Round 2,0,2013-04-06 19:40:00,M.C.G.,16,Essendon,5.0,2,5,184
1365304200,108,Geelong,16,6,North Melbourne,0,2018-06-26 12:17:17,7,100,Full Time,+10:00,1842,12,2013,2013-04-07 13:10:00,Round 2,0,2013-04-07 13:10:00,Docklands,16,Geelong,7.0,2,17,112
1365237600,78,Port Adelaide,19,12,Greater Western Sydney,0,2018-06-26 12:17:17,13,100,Full Time,+11:00,1840,9,2013,2013-04-06 19:10:00,Round 2,0,2013-04-06 19:40:00,Football Park,20,Port Adelaide,13.0,2,11,134
1365151800,99,Richmond,12,15,Richmond,0,2018-06-26 12:17:17,15,100,Full Time,+11:00,1836,14,2013,2013-04-05 19:50:00,Round 2,0,2013-04-05 19:50:00,M.C.G.,10,St Kilda,14.0,2,14,82
1365216300,73,Sydney,17,7,Gold Coast,0,2018-06-26 12:17:17,16,100,Full Time,+11:00,1837,8,2013,2013-04-06 13:45:00,Round 2,0,2013-04-06 13:45:00,S.C.G.,12,Sydney,16.0,2,11,114
1365316800,148,Hawthorn,15,10,Hawthorn,0,2018-06-26 12:17:17,17,100,Full Time,+10:00,1844,10,2013,2013-04-07 14:40:00,Round 2,0,2013-04-07 16:40:00,Subiaco,8,West Coast,10.0,2,23,98
1365217800,106,Fremantle,11,10,Fremantle,0,2018-06-26 12:17:17,18,100,Full Time,+11:00,1838,6,2013,2013-04-06 14:10:00,Round 2,0,2013-04-06 14:10:00,Docklands,12,Western Bulldogs,6.0,2,16,78
1365916500,145,Hawthorn,13,13,Hawthorn,0,2018-06-26 12:17:17,4,100,Full Time,+10:00,1884,10,2013,2013-04-14 15:15:00,Round 3,0,2013-04-14 15:15:00,M.C.G.,12,Collingwood,10.0,3,22,90
1365763200,72,Essendon,9,12,Essendon,0,2018-06-26 12:17:17,6,100,Full Time,+10:00,1845,5,2013,2013-04-12 18:40:00,Round 3,0,2013-04-12 20:40:00,Subiaco,14,Fremantle,5.0,3,10,68
1365846000,103,Geelong,18,13,Carlton,0,2018-06-26 12:17:17,7,100,Full Time,+10:00,1881,3,2013,2013-04-13 19:40:00,Round 3,0,2013-04-13 19:40:00,Docklands,11,Geelong,7.0,3,15,119
1365846000,94,Brisbane Lions,13,16,Brisbane Lions,0,2018-06-26 12:17:17,8,100,Full Time,+10:00,1882,2,2013,2013-04-13 19:40:00,Round 3,0,2013-04-13 19:40:00,Carrara,14,Gold Coast,2.0,3,13,92
1365835200,140,St Kilda,10,14,St Kilda,0,2018-06-26 12:17:17,9,100,Full Time,+10:00,1880,15,2013,2013-04-13 16:40:00,Round 3,0,2013-04-13 16:40:00,UNSW Canberra Oval,8,Greater Western Sydney,15.0,3,21,68
1365826200,177,West Coast,13,15,West Coast,0,2018-06-26 12:17:17,11,100,Full Time,+10:00,1879,17,2013,2013-04-13 14:10:00,Round 3,0,2013-04-13 14:10:00,M.C.G.,5,Melbourne,17.0,3,27,83
1365824700,131,Sydney,13,11,Sydney,0,2018-06-26 12:17:17,12,100,Full Time,+10:00,1865,16,2013,2013-04-13 13:45:00,Round 3,0,2013-04-13 13:45:00,Bellerive Oval,14,North Melbourne,16.0,3,20,92
1365921600,109,Port Adelaide,17,13,Adelaide,0,2018-06-26 12:17:17,13,100,Full Time,+10:00,1885,1,2013,2013-04-14 16:10:00,Round 3,0,2013-04-14 16:40:00,Football Park,16,Port Adelaide,13.0,3,16,118
1365909000,68,Richmond,20,8,Western Bulldogs,0,2018-06-26 12:17:17,14,100,Full Time,+10:00,1883,18,2013,2013-04-14 13:10:00,Round 3,0,2013-04-14 13:10:00,Docklands,15,Richmond,14.0,3,10,135
1366521300,28,Adelaide,12,4,Western Bulldogs,0,2018-06-26 12:17:18,1,100,Full Time,+10:00,1902,18,2013,2013-04-21 14:45:00,Round 4,0,2013-04-21 15:15:00,Football Park,8,Adelaide,1.0,4,4,80
1366450800,104,Port Adelaide,9,8,Port Adelaide,0,2018-06-26 12:17:18,8,100,Full Time,+10:00,1900,13,2013,2013-04-20 19:40:00,Round 4,0,2013-04-20 19:40:00,Carrara,12,Gold Coast,13.0,4,16,66
1366429500,76,Hawthorn,18,10,Fremantle,0,2018-06-26 12:17:18,10,100,Full Time,+10:00,1896,6,2013,2013-04-20 13:45:00,Round 4,0,2013-04-20 13:45:00,University of Tasmania Stadium,10,Hawthorn,10.0,4,11,118
1366513800,103,Melbourne,22,13,Greater Western Sydney,0,2018-06-26 12:17:18,11,100,Full Time,+10:00,1901,9,2013,2013-04-21 13:10:00,Round 4,0,2013-04-21 13:10:00,M.C.G.,12,Melbourne,11.0,4,15,144
1366526400,62,North Melbourne,18,8,Brisbane Lions,0,2018-06-26 12:17:18,12,100,Full Time,+10:00,1903,2,2013,2013-04-21 16:40:00,Round 4,0,2013-04-21 16:40:00,Docklands,17,North Melbourne,12.0,4,9,125
