tz,complete,timestr,hteamid,updated,is_grand_final,ateam,abehinds,winner,ascore,hgoals,unixtime,agoals,hscore,round,winnerteamid,hteam,hbehinds,venue,date,is_final,roundname,localtime,year,ateamid,id
+11:00,100,Full Time,3,2018-06-26 12:17:52,0,Port Adelaide,12,Port Adelaide,120,12,1394959200,18,87,1,13.0,Carlton,15,Docklands,2014-03-16 19:40:00,0,Round 1,2014-03-16 19:40:00,2014,13,2210
+11:00,100,Full Time,4,2018-06-26 12:17:52,0,Fremantle,14,Fremantle,116,5,1394787000,17,46,1,6.0,Collingwood,16,Docklands,2014-03-14 19:50:00,0,Round 1,2014-03-14 19:50:00,2014,6,2207
+11:00,100,Full Time,7,2018-06-26 12:17:52,0,Adelaide,9,Geelong,81,18,1395303000,12,119,1,7.0,Geelong,11,GMHBA Stadium,2014-03-20 19:10:00,0,Round 1,2014-03-20 19:10:00,2014,1,2211
+11:00,100,Full Time,8,2018-06-26 12:17:52,0,Richmond,9,Gold Coast,69,12,1394873700,10,87,1,8.0,Gold Coast,15,Carrara,2014-03-15 19:55:00,0,Round 1,2014-03-15 18:55:00,2014,14,2209
+11:00,100,Full Time,9,2018-06-26 12:17:52,0,Sydney,13,Greater Western Sydney,67,15,1394862000,9,99,1,9.0,Greater Western Sydney,9,Sydney Showground,2014-03-15 16:40:00,0,Round 1,2014-03-15 16:40:00,2014,16,2208
+11:00,100,Full Time,10,2018-06-26 12:17:52,0,Brisbane Lions,13,Hawthorn,91,21,1395466800,13,139,1,10.0,Hawthorn,13,University of Tasmania Stadium,2014-03-22 16:40:00,0,Round 1,2014-03-22 16:40:00,2014,2,2213
+11:00,100,Full Time,12,2018-06-26 12:17:52,0,Essendon,9,Essendon,99,9,1395391800,15,60,1,5.0,North Melbourne,6,Docklands,2014-03-21 19:50:00,0,Round 1,2014-03-21 19:50:00,2014,5,2212
+11:00,100,Full Time,15,2018-06-26 12:17:52,0,Melbourne,15,St Kilda,51,10,1395477600,6,68,1,15.0,St Kilda,8,Docklands,2014-03-22 19:40:00,0,Round 1,2014-03-22 19:40:00,2014,11,2214
+11:00,100,Full Time,17,2018-06-26 12:17:52,0,Western Bulldogs,3,West Coast,69,21,1395564000,11,134,1,17.0,West Coast,8,Subiaco,2014-03-23 19:40:00,0,Round 1,2014-03-23 16:40:00,2014,18,2215
+11:00,100,Full Time,2,2018-06-26 12:17:52,0,Geelong,15,Geelong,93,10,1396145400,13,68,2,7.0,Brisbane Lions,8,Gabba,2014-03-30 13:10:00,0,Round 2,2014-03-30 12:10:00,2014,7,2231
+11:00,100,Full Time,5,2018-06-26 12:17:52,0,Hawthorn,12,Hawthorn,90,12,1395996600,13,86,2,10.0,Essendon,14,Docklands,2014-03-28 19:50:00,0,Round 2,2014-03-28 19:50:00,2014,10,2226
+11:00,100,Full Time,6,2018-06-26 12:17:52,0,Gold Coast,9,Fremantle,39,12,1396082400,5,87,2,6.0,Fremantle,15,Subiaco,2014-03-29 19:40:00,0,Round 2,2014-03-29 16:40:00,2014,8,2229
+11:00,100,Full Time,11,2018-06-26 12:17:52,0,West Coast,15,West Coast,123,4,1396153200,18,30,2,17.0,Melbourne,6,M.C.G.,2014-03-30 15:20:00,0,Round 2,2014-03-30 15:20:00,2014,17,2232
+11:00,100,Full Time,13,2018-06-26 12:17:52,0,Adelaide,7,Port Adelaide,73,19,1396071900,11,127,2,13.0,Port Adelaide,13,Adelaide Oval,2014-03-29 16:45:00,0,Round 2,2014-03-29 16:15:00,2014,1,2228
+11:00,100,Full Time,14,2018-06-26 12:17:52,0,Carlton,14,Richmond,86,14,1395909900,12,98,2,14.0,Richmond,14,M.C.G.,2014-03-27 19:45:00,0,Round 2,2014-03-27 19:45:00,2014,3,2225
