round,agoals,hscore,hbehinds,hteam,venue,winnerteamid,date,is_final,year,localtime,roundname,id,ateamid,tz,complete,timestr,updated,hteamid,is_grand_final,abehinds,ateam,hgoals,ascore,winner,unixtime
1,12,116,8,Geelong,M.C.G.,7,2016-03-28 15:20:00,0,2016,2016-03-28 15:20:00,Round 1,704,10,+11:00,100,Full Time,2018-06-26 12:16:13,7,0,14,Hawthorn,18,86,Geelong,1459138800
1,9,121,19,Gold Coast,Carrara,8,2016-03-26 15:35:00,0,2016,2016-03-26 14:35:00,Round 1,692,5,+11:00,100,Full Time,2018-06-26 12:16:13,8,0,6,Essendon,17,60,Gold Coast,1458966900
1,10,80,8,Melbourne,M.C.G.,11,2016-03-26 13:40:00,0,2016,2016-03-26 13:40:00,Round 1,691,9,+11:00,100,Full Time,2018-06-26 12:16:13,11,0,18,Greater Western Sydney,12,78,Melbourne,1458960000
1,14,107,11,North Melbourne,Docklands,12,2016-03-26 19:25:00,0,2016,2016-03-26 19:25:00,Round 1,694,1,+11:00,100,Full Time,2018-06-26 12:16:13,12,0,13,Adelaide,16,97,North Melbourne,1458980700
1,15,133,13,Port Adelaide,Adelaide Oval,13,2016-03-27 14:50:00,0,2016,2016-03-27 14:20:00,Round 1,702,15,+11:00,100,Full Time,2018-06-26 12:16:13,13,0,10,St Kilda,20,100,Port Adelaide,1459050600
1,12,92,8,Richmond,M.C.G.,14,2016-03-24 19:20:00,0,2016,2016-03-24 19:20:00,Round 1,690,3,+11:00,100,Full Time,2018-06-26 12:16:13,14,0,11,Carlton,14,83,Richmond,1458807600
1,7,133,25,Sydney,S.C.G.,16,2016-03-26 19:25:00,0,2016,2016-03-26 19:25:00,Round 1,693,4,+11:00,100,Full Time,2018-06-26 12:16:13,16,0,11,Collingwood,18,53,Sydney,1458980700
1,15,166,10,West Coast,Subiaco,17,2016-03-27 16:40:00,0,2016,2016-03-27 13:40:00,Round 1,703,2,+11:00,100,Full Time,2018-06-26 12:16:13,17,0,12,Brisbane Lions,26,102,West Coast,1459057200
1,5,103,13,Western Bulldogs,Docklands,18,2016-03-27 13:10:00,0,2016,2016-03-27 13:10:00,Round 1,695,6,+11:00,100,Full Time,2018-06-26 12:16:13,18,0,8,Fremantle,15,38,Western Bulldogs,1459044600
2,11,144,12,Adelaide,Adelaide Oval,1,2016-04-02 13:15:00,0,2016,2016-04-02 12:45:00,Round 2,706,13,+11:00,100,Full Time,2018-06-26 12:16:13,1,0,20,Port Adelaide,22,86,Adelaide,1459563300
2,17,83,17,Brisbane Lions,Gabba,12,2016-04-02 15:35:00,0,2016,2016-04-02 14:35:00,Round 2,719,12,+11:00,100,Full Time,2018-06-26 12:16:13,2,0,15,North Melbourne,11,117,North Melbourne,1459571700
