tz,complete,timestr,updated,hteamid,is_grand_final,abehinds,ateam,ascore,winner,hgoals,unixtime,round,hscore,agoals,hbehinds,venue,hteam,winnerteamid,date,is_final,localtime,year,roundname,id,ateamid
+11:00,100,Full Time,2017-04-15 15:59:16,1,0,7,Greater Western Sydney,91,Adelaide,22,1490502000,1,147,14,15,Adelaide Oval,Adelaide,1.0,2017-03-26 15:20:00,0,2017-03-26 14:50:00,2017,Round 1,8,9
+11:00,100,Full Time,2017-04-15 15:59:16,3,0,12,Richmond,132,Richmond,14,1490257200,1,89,20,5,M.C.G.,Carlton,14.0,2017-03-23 19:20:00,0,2017-03-23 19:20:00,2017,Round 1,1,14
+11:00,100,Full Time,2017-04-15 15:59:16,4,0,10,Western Bulldogs,100,Western Bulldogs,12,1490345400,1,86,15,14,M.C.G.,Collingwood,18.0,2017-03-24 19:50:00,0,2017-03-24 19:50:00,2017,Round 1,2,18
+11:00,100,Full Time,2017-04-15 15:59:16,5,0,19,Hawthorn,91,Essendon,17,1490430300,1,116,12,14,M.C.G.,Essendon,5.0,2017-03-25 19:25:00,0,2017-03-25 19:25:00,2017,Round 1,6,10
+11:00,100,Full Time,2017-04-15 15:59:16,6,0,7,Geelong,115,Geelong,10,1490517600,1,73,18,13,Subiaco,Fremantle,7.0,2017-03-26 19:40:00,0,2017-03-26 16:40:00,2017,Round 1,9,7
+11:00,100,Full Time,2017-04-15 15:59:16,8,0,8,Brisbane Lions,98,Brisbane Lions,14,1490432700,1,96,15,12,Carrara,Gold Coast,2.0,2017-03-25 20:05:00,0,2017-03-25 19:05:00,2017,Round 1,5,2
+11:00,100,Full Time,2017-04-15 15:59:16,12,0,10,West Coast,136,West Coast,13,1490494200,1,93,21,15,Docklands,North Melbourne,17.0,2017-03-26 13:10:00,0,2017-03-26 13:10:00,2017,Round 1,7,17
+11:00,100,Full Time,2017-04-15 15:59:16,15,0,12,Melbourne,120,Melbourne,13,1490420100,1,90,18,12,Docklands,St Kilda,11.0,2017-03-25 16:35:00,0,2017-03-25 16:35:00,2017,Round 1,4,11
+11:00,100,Full Time,2017-04-15 15:59:16,16,0,8,Port Adelaide,110,Port Adelaide,12,1490420100,1,82,17,10,S.C.G.,Sydney,13.0,2017-03-25 16:35:00,0,2017-03-25 16:35:00,2017,Round 1,3,13
+11:00,100,Full Time,2017-04-15 15:59:16,2,0,9,Essendon,111,Essendon,12,1491035100,2,84,17,12,Gabba,Brisbane Lions,5.0,2017-04-01 19:25:00,0,2017-04-01 18:25:00,2017,Round 2,14,5
+10:00,100,Full Time,2017-04-15 15:59:16,7,0,9,North Melbourne,111,Geelong,17,1491102600,2,112,17,10,Docklands,Geelong,7.0,2017-04-02 13:10:00,0,2017-04-02 13:10:00,2017,Round 2,16,12
+11:00,100,Full Time,2017-04-15 15:59:16,9,0,10,Gold Coast,58,Greater Western Sydney,24,1491024900,2,160,8,16,Sydney Showground,Greater Western Sydney,9.0,2017-04-01 16:35:00,0,2017-04-01 16:35:00,2017,Round 2,13,8
+11:00,100,Full Time,2017-04-15 15:59:16,10,0,17,Adelaide,113,Adelaide,13,1491014700,2,89,16,11,M.C.G.,Hawthorn,1.0,2017-04-01 13:45:00,0,2017-04-01 13:45:00,2017,Round 2,12,1
+10:00,100,Full Time,2017-04-15 15:59:16,11,0,10,Carlton,64,Melbourne,13,1491110400,2,86,9,8,M.C.G.,Melbourne,11.0,2017-04-02 15:20:00,0,2017-04-02 15:20:00,2017,Round 2,17,3
