complete,timestr,tz,is_grand_final,updated,hteamid,ascore,hgoals,winner,ateam,abehinds,unixtime,venue,hteam,hbehinds,winnerteamid,round,hscore,agoals,is_final,date,year,localtime,roundname,id,ateamid
100,Full Time,+11:00,0,2018-03-23 22:54:08,5,87,14,Essendon,Adelaide,15,1521795000,Docklands,Essendon,15,5.0,1,99,12,0,2018-03-23 19:50:00,2018,2018-03-23 19:50:00,Round 1,373,1
100,Full Time,+11:00,0,2018-03-24 22:54:02,8,39,7,Gold Coast,North Melbourne,9,1521879900,Cazaly's Stadium,Gold Coast,13,8.0,1,55,5,0,2018-03-24 19:25:00,2018,2018-03-24 18:25:00,Round 1,376,12
100,Full Time,+11:00,0,2018-03-25 16:54:02,9,51,20,Greater Western Sydney,Western Bulldogs,9,1521943800,UNSW Canberra Oval,Greater Western Sydney,13,9.0,1,133,7,0,2018-03-25 13:10:00,2018,2018-03-25 13:10:00,Round 1,378,18
100,Full Time,+11:00,0,2018-03-24 22:54:02,10,67,15,Hawthorn,Collingwood,13,1521879900,M.C.G.,Hawthorn,11,10.0,1,101,9,0,2018-03-24 19:25:00,2018,2018-03-24 19:25:00,Round 1,377,4
100,Full Time,+11:00,0,2018-03-25 18:54:03,11,97,13,Geelong,Geelong,13,1521951600,M.C.G.,Melbourne,16,7.0,1,94,14,0,2018-03-25 15:20:00,2018,2018-03-25 15:20:00,Round 1,379,7
100,Full Time,+11:00,0,2018-03-24 19:54:02,13,60,16,Port Adelaide,Fremantle,6,1521869700,Adelaide Oval,Port Adelaide,14,13.0,1,110,9,0,2018-03-24 16:35:00,2018,2018-03-24 16:05:00,Round 1,375,6
100,Full Time,+11:00,0,2018-03-22 22:54:02,14,95,17,Richmond,Carlton,5,1521707100,M.C.G.,Richmond,19,14.0,1,121,15,0,2018-03-22 19:25:00,2018,2018-03-22 19:25:00,Round 1,372,3
100,Full Time,+11:00,0,2018-03-24 18:54:02,15,82,16,St Kilda,Brisbane Lions,10,1521866100,Docklands,St Kilda,11,15.0,1,107,12,0,2018-03-24 15:35:00,2018,2018-03-24 15:35:00,Round 1,374,2
100,Full Time,+11:00,0,2018-03-25 22:54:02,17,115,13,Sydney,Sydney,7,1521966000,Optus Stadium,West Coast,8,16.0,1,86,18,0,2018-03-25 19:20:00,2018,2018-03-25 16:20:00,Round 1,380,16
100,Full Time,+11:00,0,2018-03-29 22:54:03,1,82,18,Adelaide,Richmond,10,1522313400,Adelaide Oval,Adelaide,10,1.0,2,118,12,0,2018-03-29 19:50:00,2018,2018-03-29 19:20:00,Round 2,381,14
100,Full Time,+11:00,0,2018-03-31 22:54:02,2,100,10,Melbourne,Melbourne,16,1522484700,Gabba,Brisbane Lions,14,11.0,2,74,14,0,2018-03-31 19:25:00,2018,2018-03-31 18:25:00,Round 2,385,11
100,Full Time,+11:00,0,2018-03-31 16:54:02,3,101,9,Gold Coast,Gold Coast,11,1522464300,Docklands,Carlton,13,8.0,2,67,15,0,2018-03-31 13:45:00,2018,2018-03-31 13:45:00,Round 2,383,8
100,Full Time,+11:00,0,2018-03-31 19:54:01,4,95,12,Greater Western Sydney,Greater Western Sydney,5,1522474500,M.C.G.,Collingwood,7,9.0,2,79,15,0,2018-03-31 16:35:00,2018,2018-03-31 16:35:00,Round 2,384,9
100,Full Time,+11:00,0,2018-03-31 22:54:02,6,90,16,Fremantle,Essendon,6,1522487400,Optus Stadium,Fremantle,10,6.0,2,106,14,0,2018-03-31 20:10:00,2018,2018-03-31 17:10:00,Round 2,386,5
100,Full Time,+10:00,0,2018-04-02 18:54:02,7,118,18,Hawthorn,Hawthorn,16,1522646400,M.C.G.,Geelong,9,10.0,2,117,17,0,2018-04-02 15:20:00,2018,2018-04-02 15:20:00,Round 2,389,10
100,Full Time,+11:00,0,2018-03-30 18:54:01,12,43,13,North Melbourne,St Kilda,13,1522387200,Docklands,North Melbourne,17,12.0,2,95,5,0,2018-03-30 16:20:00,2018,2018-03-30 16:20:00,Round 2,382,15
100,Full Time,+10:00,0,2018-04-01 19:54:03,16,94,10,Port Adelaide,Port Adelaide,10,1522564800,S.C.G.,Sydney,11,13.0,2,71,14,0,2018-04-01 16:40:00,2018,2018-04-01 16:40:00,Round 2,388,13
100,Full Time,+10:00,0,2018-04-01 18:54:02,18,121,9,West Coast,West Coast,13,1522560000,Docklands,Western Bulldogs,16,17.0,2,70,18,0,2018-04-01 15:20:00,2018,2018-04-01 15:20:00,Round 2,387,17
100,Full Time,+10:00,0,2018-04-06 22:54:03,3,100,11,Collingwood,Collingwood,4,1523008200,M.C.G.,Carlton,10,4.0,3,76,16,0,2018-04-06 19:50:00,2018,2018-04-06 19:50:00,Round 3,390,4
100,Full Time,+10:00,0,2018-04-07 19:54:03,8,96,10,Fremantle,Fremantle,18,1523082900,Optus Stadium,Gold Coast,8,6.0,3,68,13,0,2018-04-07 16:35:00,2018,2018-04-07 14:35:00,Round 3,403,6
100,Full Time,+10:00,0,2018-04-07 16:54:03,11,86,18,Melbourne,North Melbourne,8,1523074200,M.C.G.,Melbourne,15,11.0,3,123,13,0,2018-04-07 14:10:00,2018,2018-04-07 14:10:00,Round 3,402,12
100,Full Time,+10:00,0,2018-04-07 16:54:03,13,92,14,Port Adelaide,Brisbane Lions,8,1523072700,Adelaide Oval,Port Adelaide,13,13.0,3,97,14,0,2018-04-07 13:45:00,2018,2018-04-07 13:15:00,Round 3,391,2
100,Full Time,+10:00,0,2018-04-08 15:54:03,14,89,15,Richmond,Hawthorn,11,1523157000,M.C.G.,Richmond,12,14.0,3,102,13,0,2018-04-08 13:10:00,2018,2018-04-08 13:10:00,Round 3,406,10
100,Full Time,+10:00,0,2018-04-07 22:21:31,15,104,7,Adelaide,Adelaide,14,1523093100,Docklands,St Kilda,13,1.0,3,55,15,0,2018-04-07 19:25:00,2018,2018-04-07 19:25:00,Round 3,405,1
100,Full Time,+10:00,0,2018-04-07 22:21:31,16,87,16,Sydney,Greater Western Sydney,15,1523093100,S.C.G.,Sydney,7,16.0,3,103,12,0,2018-04-07 19:25:00,2018,2018-04-07 19:25:00,Round 3,404,9
100,Full Time,+10:00,0,2018-04-08 19:54:02,17,80,14,West Coast,Geelong,14,1523169600,Optus Stadium,West Coast,11,17.0,3,95,11,0,2018-04-08 16:40:00,2018,2018-04-08 14:40:00,Round 3,408,7
100,Full Time,+10:00,0,2018-04-08 17:54:03,18,83,14,Western Bulldogs,Essendon,11,1523164800,Docklands,Western Bulldogs,20,18.0,3,104,12,0,2018-04-08 15:20:00,2018,2018-04-08 15:20:00,Round 3,407,5
100,Full Time,+10:00,0,2018-04-13 22:54:03,1,106,9,Collingwood,Collingwood,10,1523613000,Adelaide Oval,Adelaide,4,4.0,4,58,16,0,2018-04-13 19:50:00,2018,2018-04-13 19:20:00,Round 4,409,4
100,Full Time,+10:00,0,2018-04-15 15:54:03,5,84,16,Essendon,Port Adelaide,12,1523761800,Docklands,Essendon,10,5.0,4,106,12,0,2018-04-15 13:10:00,2018,2018-04-15 13:10:00,Round 4,418,13
100,Full Time,+10:00,0,2018-04-15 19:54:02,7,56,15,Geelong,St Kilda,14,1523774400,GMHBA Stadium,Geelong,13,7.0,4,103,7,0,2018-04-15 16:40:00,2018,2018-04-15 16:40:00,Round 4,420,15
100,Full Time,+10:00,0,2018-04-14 16:54:03,9,51,11,Greater Western Sydney,Fremantle,9,1523677500,UNSW Canberra Oval,Greater Western Sydney,16,9.0,4,82,7,0,2018-04-14 13:45:00,2018,2018-04-14 13:45:00,Round 4,410,6
100,Full Time,+10:00,0,2018-04-15 18:54:02,10,48,18,Hawthorn,Melbourne,12,1523769600,M.C.G.,Hawthorn,7,10.0,4,115,6,0,2018-04-15 15:20:00,2018,2018-04-15 15:20:00,Round 4,419,11
100,Full Time,+10:00,0,2018-04-14 22:54:03,12,30,18,North Melbourne,Carlton,6,1523697900,Bellerive Oval,North Melbourne,8,12.0,4,116,4,0,2018-04-14 19:25:00,2018,2018-04-14 19:25:00,Round 4,416,3
100,Full Time,+10:00,0,2018-04-14 16:54:03,14,17,16,Richmond,Brisbane Lions,5,1523679000,M.C.G.,Richmond,14,14.0,4,110,2,0,2018-04-14 14:10:00,2018,2018-04-14 14:10:00,Round 4,411,2
100,Full Time,+10:00,0,2018-04-14 22:54:03,17,59,21,West Coast,Gold Coast,5,1523700600,Optus Stadium,West Coast,13,17.0,4,139,9,0,2018-04-14 20:10:00,2018,2018-04-14 18:10:00,Round 4,417,8
100,Full Time,+10:00,0,2018-04-14 19:54:03,18,86,11,Sydney,Sydney,8,1523687700,Docklands,Western Bulldogs,13,16.0,4,79,13,0,2018-04-14 16:35:00,2018,2018-04-14 16:35:00,Round 4,415,16
100,Full Time,+10:00,0,2018-04-22 19:54:03,2,76,10,Gold Coast,Gold Coast,10,1524379200,Gabba,Brisbane Lions,11,8.0,5,71,11,0,2018-04-22 16:40:00,2018,2018-04-22 16:40:00,Round 5,427,8
100,Full Time,+10:00,0,2018-04-21 19:54:02,3,79,10,West Coast,West Coast,19,1524292500,M.C.G.,Carlton,9,17.0,5,69,10,0,2018-04-21 16:35:00,2018,2018-04-21 16:35:00,Round 5,423,17
