unixtime,winner,ascore,hgoals,abehinds,ateam,is_grand_final,updated,hteamid,complete,timestr,tz,id,ateamid,year,localtime,roundname,is_final,date,venue,hteam,hbehinds,winnerteamid,round,hscore,agoals
1553319300,Hawthorn,87,7,15,Hawthorn,0,2019-03-23 19:10:02,1,100,Full Time,+11:00,3056,10,2019,2019-03-23 16:05:00,Round 1,0,2019-03-23 16:35:00,Adelaide Oval,Adelaide,13,10,1,55,12
1553332800,Brisbane Lions,58,15,10,West Coast,0,2019-03-23 23:04:02,2,100,Full Time,+11:00,3058,17,2019,2019-03-23 19:20:00,Round 1,0,2019-03-23 20:20:00,Gabba,Brisbane Lions,12,2,1,102,8
1553156400,Richmond,97,9,13,Richmond,0,2019-03-21 22:06:02,3,100,Full Time,+11:00,3049,14,2019,2019-03-21 19:20:00,Round 1,0,2019-03-21 19:20:00,M.C.G.,Carlton,10,14,1,64,14
1553244600,Geelong,72,9,12,Geelong,0,2019-03-22 22:28:03,4,100,Full Time,+11:00,3050,7,2019,2019-03-22 19:50:00,Round 1,0,2019-03-22 19:50:00,M.C.G.,Collingwood,11,7,1,65,10
1553412000,Fremantle,59,21,5,North Melbourne,0,2019-03-24 20:56:02,6,100,Full Time,+11:00,3061,12,2019,2019-03-24 15:20:00,Round 1,0,2019-03-24 18:20:00,Perth Stadium,Fremantle,15,6,1,141,9
1553401200,Greater Western Sydney,40,16,10,Essendon,0,2019-03-24 17:58:02,9,100,Full Time,+11:00,3060,5,2019,2019-03-24 15:20:00,Round 1,0,2019-03-24 15:20:00,Sydney Showground,Greater Western Sydney,16,9,1,112,5
1553309100,Port Adelaide,87,9,15,Port Adelaide,0,2019-03-23 16:20:02,11,100,Full Time,+11:00,3055,13,2019,2019-03-23 13:45:00,Round 1,0,2019-03-23 13:45:00,M.C.G.,Melbourne,7,13,1,61,12
1553393400,St Kilda,84,13,6,Gold Coast,0,2019-03-24 15:50:02,15,100,Full Time,+11:00,3059,8,2019,2019-03-24 13:10:00,Round 1,0,2019-03-24 13:10:00,Marvel Stadium,St Kilda,7,15,1,85,13
1553329500,Western Bulldogs,65,11,11,Sydney,0,2019-03-23 21:56:02,18,100,Full Time,+11:00,3057,16,2019,2019-03-23 19:25:00,Round 1,0,2019-03-23 19:25:00,Marvel Stadium,Western Bulldogs,16,18,1,82,9
1553924100,St Kilda,76,9,16,St Kilda,0,2019-03-30 19:08:02,5,100,Full Time,+11:00,3064,15,2019,2019-03-30 16:35:00,Round 2,0,2019-03-30 16:35:00,Marvel Stadium,Essendon,11,15,2,65,10
1553934300,Geelong,46,20,10,Melbourne,0,2019-03-30 22:08:02,7,100,Full Time,+11:00,3066,11,2019,2019-03-30 19:25:00,Round 2,0,2019-03-30 19:25:00,Kardinia Park,Geelong,6,7,2,126,6
1554010800,Gold Coast,58,7,10,Fremantle,0,2019-03-31 19:14:03,8,100,Full Time,+11:00,3087,6,2019,2019-03-31 15:40:00,Round 2,0,2019-03-31 16:40:00,Carrara,Gold Coast,19,8,2,61,8
