id,ateamid,year,localtime,roundname,date,is_final,round,hscore,agoals,hbehinds,venue,hteam,winnerteamid,unixtime,abehinds,ateam,winner,ascore,hgoals,updated,hteamid,is_grand_final,tz,timestr,complete
4401,16,2020,2020-03-21 16:35:00,Round 1,2020-03-21 17:05:00,0,1,71,11,5,Adelaide Oval,Adelaide,16.0,1584770700,8,Sydney,Sydney,74,11,2020-03-21 19:24:02,1,0,+11:00,Full Time,100
4400,6,2020,2020-03-21 14:10:00,Round 1,2020-03-21 14:10:00,0,1,63,8,9,Docklands,Essendon,5.0,1584760200,9,Fremantle,Essendon,57,9,2020-03-21 16:26:03,5,0,+11:00,Full Time,100
4403,13,2020,2020-03-21 18:40:00,Round 1,2020-03-21 19:40:00,0,1,29,10,5,Carrara,Gold Coast,13.0,1584780000,16,Port Adelaide,Port Adelaide,76,4,2020-03-21 21:56:02,8,0,+11:00,Full Time,100
4402,7,2020,2020-03-21 19:40:00,Round 1,2020-03-21 19:40:00,0,1,105,11,3,Sydney Showground,Greater Western Sydney,9.0,1584780000,7,Geelong,Greater Western Sydney,73,17,2020-03-21 22:02:03,9,0,+11:00,Full Time,100
4412,2,2020,2020-03-22 15:35:00,Round 1,2020-03-22 15:35:00,0,1,90,9,6,M.C.G.,Hawthorn,10.0,1584851700,8,Brisbane Lions,Hawthorn,62,14,2020-03-22 18:00:03,10,0,+11:00,Full Time,100
4404,15,2020,2020-03-22 13:05:00,Round 1,2020-03-22 13:05:00,0,1,56,7,8,Docklands,North Melbourne,12.0,1584842700,12,St Kilda,North Melbourne,54,8,2020-03-22 15:26:03,12,0,+11:00,Full Time,100
4396,3,2020,2020-03-19 19:40:00,Round 1,2020-03-19 19:40:00,0,1,105,12,9,M.C.G.,Richmond,14.0,1584607200,9,Carlton,Richmond,81,16,2020-03-19 22:02:03,14,0,+11:00,Full Time,100
4413,11,2020,2020-03-22 15:40:00,Round 1,2020-03-22 18:40:00,0,1,78,7,6,Perth Stadium,West Coast,17.0,1584862800,9,Melbourne,West Coast,51,12,2020-03-22 20:54:02,17,0,+11:00,Full Time,100
4397,4,2020,2020-03-20 19:50:00,Round 1,2020-03-20 19:50:00,0,1,34,13,4,Docklands,Western Bulldogs,4.0,1584694200,8,Collingwood,Collingwood,86,5,2020-03-20 22:06:02,18,0,+11:00,Full Time,100
4746,6,2020,2020-06-13 13:45:00,Round 2,2020-06-13 13:45:00,0,2,81,10,9,Gabba,Brisbane Lions,2.0,1592019900,9,Fremantle,Brisbane Lions,69,12,2020-06-13 16:12:02,2,0,+10:00,Full Time,100
