ascore,hgoals,winner,abehinds,ateam,unixtime,complete,timestr,tz,is_grand_final,updated,hteamid,localtime,year,roundname,id,ateamid,hbehinds,venue,hteam,winnerteamid,round,hscore,agoals,is_final,date
91,15,Adelaide,13,Geelong,1616218500,100,Full Time,+11:00,0,2021-03-20 19:40:04,1,2021-03-20 16:05:00,2021,Round 1,6243,7,13,Adelaide Oval,Adelaide,1.0,1,103,13,0,2021-03-20 16:35:00
125,14,Sydney,11,Sydney,1616229900,100,Full Time,+11:00,0,2021-03-20 22:40:03,2,2021-03-20 18:45:00,2021,Round 1,6245,16,10,Gabba,Brisbane Lions,16.0,1,94,19,0,2021-03-20 19:45:00
69,7,Western Bulldogs,9,Western Bulldogs,1616143800,100,Full Time,+11:00,0,2021-03-19 22:40:02,4,2021-03-19 19:50:00,2021,Round 1,6241,18,11,M.C.G.,Collingwood,18.0,1,53,10,0,2021-03-19 19:50:00
92,13,Hawthorn,8,Hawthorn,1616228700,100,Full Time,+11:00,0,2021-03-20 22:20:02,5,2021-03-20 19:25:00,2021,Round 1,6244,10,13,Docklands,Essendon,10.0,1,91,14,0,2021-03-20 19:25:00
86,11,St Kilda,8,St Kilda,1616300400,100,Full Time,+11:00,0,2021-03-21 18:20:05,9,2021-03-21 15:20:00,2021,Round 1,6247,15,12,Sydney Showground,Greater Western Sydney,15.0,1,78,13,0,2021-03-21 15:20:00
58,11,Melbourne,10,Fremantle,1616208300,100,Full Time,+11:00,0,2021-03-20 16:40:05,11,2021-03-20 13:45:00,2021,Round 1,6242,6,14,M.C.G.,Melbourne,11.0,1,80,8,0,2021-03-20 13:45:00
117,9,Port Adelaide,15,Port Adelaide,1616292600,100,Full Time,+11:00,0,2021-03-21 16:00:04,12,2021-03-21 13:10:00,2021,Round 1,6246,13,11,Docklands,North Melbourne,13.0,1,65,17,0,2021-03-21 13:10:00
80,15,Richmond,14,Carlton,1616055900,100,Full Time,+11:00,0,2021-03-18 22:20:03,14,2021-03-18 19:25:00,2021,Round 1,6240,3,15,M.C.G.,Richmond,14.0,1,105,11,0,2021-03-18 19:25:00
58,12,West Coast,10,Gold Coast,1616310600,100,Full Time,+11:00,0,2021-03-21 21:00:04,17,2021-03-21 15:10:00,2021,Round 1,6248,8,11,Perth Stadium,West Coast,17.0,1,83,8,0,2021-03-21 18:10:00
106,13,Collingwood,10,Collingwood,1616660400,100,Full Time,+11:00,0,2021-03-25 22:06:02,3,2021-03-25 19:20:00,2021,Round 2,6249,4,7,M.C.G.,Carlton,4.0,2,85,16,0,2021-03-25 19:20:00
56,11,Fremantle,14,Greater Western Sydney,1616915400,100,Full Time,+11:00,0,2021-03-28 20:46:02,6,2021-03-28 15:10:00,2021,Round 2,6257,9,21,Perth Stadium,Fremantle,6.0,2,87,7,0,2021-03-28 18:10:00
80,12,Geelong,14,Brisbane Lions,1616748600,100,Full Time,+11:00,0,2021-03-26 22:32:02,7,2021-03-26 19:50:00,2021,Round 2,6250,2,9,Kardinia Park,Geelong,7.0,2,81,11,0,2021-03-26 19:50:00
39,14,Gold Coast,9,North Melbourne,1616836200,100,Full Time,+11:00,0,2021-03-27 22:46:02,8,2021-03-27 19:10:00,2021,Round 2,6254,12,14,Carrara,Gold Coast,8.0,2,98,5,0,2021-03-27 20:10:00
