roundname,year,localtime,ateamid,id,winnerteamid,venue,hteam,hbehinds,agoals,hscore,round,is_final,date,winner,ascore,hgoals,abehinds,ateam,unixtime,complete,timestr,tz,is_grand_final,hteamid,updated
Round 1,2022,2022-03-20 15:40:00,6,8669,6.0,Adelaide Oval,Adelaide,10,11,82,1,0,2022-03-20 16:10:00,Fremantle,83,12,17,Fremantle,1647753000,100,Full Time,+11:00,0,1,2022-03-20 18:50:03
Round 1,2022,2022-03-19 19:10:00,13,8667,2.0,Gabba,Brisbane Lions,14,10,80,1,0,2022-03-19 20:10:00,Brisbane Lions,69,11,9,Port Adelaide,1647681000,100,Full Time,+11:00,0,2,2022-03-19 22:56:03
Round 1,2022,2022-03-17 19:25:00,14,8663,3.0,M.C.G.,Carlton,17,11,101,1,0,2022-03-17 19:25:00,Carlton,76,14,10,Richmond,1647505500,100,Full Time,+11:00,0,3,2022-03-17 22:02:04
Round 1,2022,2022-03-19 14:10:00,5,8665,7.0,M.C.G.,Geelong,18,11,138,1,0,2022-03-19 14:10:00,Geelong,72,20,6,Essendon,1647659400,100,Full Time,+11:00,0,7,2022-03-19 16:56:02
Round 1,2022,2022-03-19 17:10:00,16,8666,16.0,Stadium Australia,Greater Western Sydney,14,17,92,1,0,2022-03-19 17:10:00,Sydney,112,13,10,Sydney,1647670200,100,Full Time,+11:00,0,9,2022-03-19 19:56:02
Round 1,2022,2022-03-20 13:10:00,12,8668,10.0,M.C.G.,Hawthorn,12,8,78,1,0,2022-03-20 13:10:00,Hawthorn,58,11,10,North Melbourne,1647742200,100,Full Time,+11:00,0,10,2022-03-20 15:46:03
Round 1,2022,2022-03-16 19:10:00,18,8662,11.0,M.C.G.,Melbourne,13,11,97,1,0,2022-03-16 19:10:00,Melbourne,71,14,5,Western Bulldogs,1647418200,100,Full Time,+11:00,0,11,2022-03-16 21:46:02
Round 1,2022,2022-03-18 19:50:00,4,8664,4.0,Docklands,St Kilda,13,15,85,1,0,2022-03-18 19:50:00,Collingwood,102,12,12,Collingwood,1647593400,100,Full Time,+11:00,0,15,2022-03-18 22:34:07
Round 1,2022,2022-03-20 16:40:00,8,8670,8.0,Perth Stadium,West Coast,8,16,80,1,0,2022-03-20 19:40:00,Gold Coast,107,12,11,Gold Coast,1647765600,100,Full Time,+11:00,0,17,2022-03-20 22:22:02
Round 2,2022,2022-03-26 13:45:00,1,8673,4.0,M.C.G.,Collingwood,10,8,100,2,0,2022-03-26 13:45:00,Collingwood,58,15,10,Adelaide,1648262700,100,Full Time,+11:00,0,4,2022-03-26 16:25:03
Round 2,2022,2022-03-26 16:35:00,2,8674,2.0,Docklands,Essendon,15,15,75,2,0,2022-03-26 16:35:00,Brisbane Lions,97,10,7,Brisbane Lions,1648272900,100,Full Time,+11:00,0,5,2022-03-26 19:17:03
Round 2,2022,2022-03-27 15:20:00,15,8679,15.0,Perth Stadium,Fremantle,7,9,55,2,0,2022-03-27 18:20:00,St Kilda,65,8,11,St Kilda,1648365600,100,Full Time,+11:00,0,6,2022-03-27 20:49:02
Round 2,2022,2022-03-26 19:00:00,11,8676,11.0,Carrara,Gold Coast,9,12,69,2,0,2022-03-26 20:00:00,Melbourne,82,10,10,Melbourne,1648285200,100,Full Time,+11:00,0,8,2022-03-26 22:41:03
Round 2,2022,2022-03-27 13:10:00,17,8677,12.0,Docklands,North Melbourne,14,8,74,2,0,2022-03-27 13:10:00,North Melbourne,59,10,11,West Coast,1648347000,100,Full Time,+11:00,0,12,2022-03-27 15:43:02
Round 2,2022,2022-03-26 19:10:00,10,8675,10.0,Adelaide Oval,Port Adelaide,14,19,56,2,0,2022-03-26 19:40:00,Hawthorn,120,7,6,Hawthorn,1648284000,100,Full Time,+11:00,0,13,2022-03-26 22:20:09
Round 2,2022,2022-03-27 15:20:00,9,8678,14.0,M.C.G.,Richmond,13,10,109,2,0,2022-03-27 15:20:00,Richmond,73,16,13,Greater Western Sydney,1648354800,100,Full Time,+11:00,0,14,2022-03-27 17:58:02
Round 2,2022,2022-03-25 19:50:00,7,8672,16.0,S.C.G.,Sydney,5,10,107,2,0,2022-03-25 19:50:00,Sydney,77,17,17,Geelong,1648198200,100,Full Time,+11:00,0,16,2022-03-25 23:04:02
Round 2,2022,2022-03-24 19:20:00,3,8671,3.0,Docklands,Western Bulldogs,12,16,90,2,0,2022-03-24 19:20:00,Carlton,102,13,6,Carlton,1648110000,100,Full Time,+11:00,0,18,2022-03-24 22:01:03
Round 3,2022,2022-04-01 19:50:00,13,8682,1.0,Adelaide Oval,Adelaide,6,13,96,3,0,2022-04-01 20:20:00,Adelaide,92,15,14,Port Adelaide,1648804800,100,Full Time,+11:00,0,1,2022-04-01 23:05:03
Round 3,2022,2022-04-02 19:00:00,12,8685,2.0,Gabba,Brisbane Lions,18,7,156,3,0,2022-04-02 20:00:00,Brisbane Lions,48,23,6,North Melbourne,1648890000,100,Full Time,+11:00,0,2,2022-04-02 22:47:02
Round 3,2022,2022-04-03 13:10:00,10,8686,3.0,M.C.G.,Carlton,8,11,74,3,0,2022-04-03 13:10:00,Carlton,73,11,7,Hawthorn,1648955400,100,Full Time,+10:00,0,3,2022-04-03 15:44:05
Round 3,2022,2022-04-02 19:25:00,7,8684,7.0,M.C.G.,Collingwood,13,16,91,3,0,2022-04-02 19:25:00,Geelong,104,13,8,Geelong,1648887900,100,Full Time,+11:00,0,4,2022-04-02 22:10:04
Round 3,2022,2022-04-02 16:35:00,8,8683,9.0,Sydney Showground,Greater Western Sydney,11,8,83,3,0,2022-04-02 16:35:00,Greater Western Sydney,57,12,9,Gold Coast,1648877700,100,Full Time,+11:00,0,9,2022-04-02 19:14:02
Round 3,2022,2022-04-01 19:20:00,5,8681,11.0,M.C.G.,Melbourne,15,10,99,3,0,2022-04-01 19:20:00,Melbourne,70,14,10,Essendon,1648801200,100,Full Time,+11:00,0,11,2022-04-01 21:55:02
Round 3,2022,2022-04-03 15:20:00,14,8687,15.0,Docklands,St Kilda,9,13,117,3,0,2022-04-03 15:20:00,St Kilda,84,18,6,Richmond,1648963200,100,Full Time,+10:00,0,15,2022-04-03 18:02:02
