venue,hbehinds,hteam,winnerteamid,round,agoals,hscore,is_final,date,year,localtime,roundname,id,ateamid,timestr,complete,tz,is_grand_final,updated,hteamid,ascore,winner,hgoals,abehinds,ateam,unixtime
M.C.G.,7,Geelong,4.0,1,19,103,0,2023-03-17 19:40:00,2023,2023-03-17 19:40:00,Round 1,34261,4,Full Time,100,+11:00,0,2023-03-17 22:37:21,7,125,Collingwood,16,11,Collingwood,1679042400
Carrara,7,Gold Coast,16.0,1,16,61,0,2023-03-18 20:00:00,2023,2023-03-18 19:00:00,Round 1,34265,16,Full Time,100,+11:00,0,2023-03-18 22:41:51,8,110,Sydney,9,14,Sydney,1679130000
Sydney Showground,16,Greater Western Sydney,9.0,1,12,106,0,2023-03-19 13:10:00,2023,2023-03-19 13:10:00,Round 1,34266,1,Full Time,100,+11:00,0,2023-03-19 16:01:03,9,90,Greater Western Sydney,15,18,Adelaide,1679191800
M.C.G.,11,Hawthorn,5.0,1,19,65,0,2023-03-19 15:20:00,2023,2023-03-19 15:20:00,Round 1,34267,5,Full Time,100,+11:00,0,2023-03-19 17:55:08,10,124,Essendon,9,10,Essendon,1679199600
M.C.G.,13,Melbourne,11.0,1,9,115,0,2023-03-18 19:25:00,2023,2023-03-18 19:25:00,Round 1,34264,18,Full Time,100,+11:00,0,2023-03-18 22:03:09,11,65,Melbourne,17,11,Western Bulldogs,1679127900
Docklands,15,North Melbourne,12.0,1,12,87,0,2023-03-18 13:45:00,2023,2023-03-18 13:45:00,Round 1,34262,17,Full Time,100,+11:00,0,2023-03-18 16:26:17,12,82,North Melbourne,12,10,West Coast,1679107500
Adelaide Oval,18,Port Adelaide,13.0,1,11,126,0,2023-03-18 16:35:00,2023,2023-03-18 16:05:00,Round 1,34263,2,Full Time,100,+11:00,0,2023-03-18 19:21:14,13,72,Port Adelaide,18,6,Brisbane Lions,1679117700
M.C.G.,10,Richmond,,1,8,58,0,2023-03-16 19:20:00,2023,2023-03-16 19:20:00,Round 1,34260,3,Full Time,100,+11:00,0,2023-03-16 23:02:04,14,58,,8,10,Carlton,1678954800
Docklands,7,St Kilda,15.0,1,7,67,0,2023-03-19 16:40:00,2023,2023-03-19 16:40:00,Round 1,34268,6,Full Time,100,+11:00,0,2023-03-19 19:11:56,15,52,St Kilda,10,10,Fremantle,1679204400
Adelaide Oval,16,Adelaide,14.0,2,17,76,0,2023-03-25 16:35:00,2023,2023-03-25 16:05:00,Round 2,34272,14,Full Time,100,+11:00,0,2023-03-25 19:17:38,1,108,Richmond,10,6,Richmond,1679722500
Gabba,9,Brisbane Lions,2.0,2,13,93,0,2023-03-24 19:55:00,2023,2023-03-24 18:55:00,Round 2,34270,11,Full Time,100,+11:00,0,2023-03-24 23:17:56,2,82,Brisbane Lions,14,4,Melbourne,1679648100
M.C.G.,12,Carlton,3.0,2,12,90,0,2023-03-23 19:20:00,2023,2023-03-23 19:20:00,Round 2,34269,7,Full Time,100,+11:00,0,2023-03-23 21:56:35,3,82,Carlton,13,10,Geelong,1679559600
M.C.G.,9,Collingwood,4.0,2,9,135,0,2023-03-25 13:45:00,2023,2023-03-25 13:45:00,Round 2,34271,13,Full Time,100,+11:00,0,2023-03-25 16:20:51,4,64,Collingwood,21,10,Port Adelaide,1679712300
Docklands,12,Essendon,5.0,2,11,108,0,2023-03-26 15:20:00,2023,2023-03-26 15:20:00,Round 2,34276,8,Full Time,100,+11:00,0,2023-03-26 18:00:00,5,80,Essendon,16,14,Gold Coast,1679804400
Perth Stadium,12,Fremantle,12.0,2,11,72,0,2023-03-25 19:30:00,2023,2023-03-25 16:30:00,Round 2,34274,12,Full Time,100,+11:00,0,2023-03-25 22:08:54,6,73,North Melbourne,10,7,North Melbourne,1679733000
S.C.G.,16,Sydney,16.0,2,4,118,0,2023-03-26 13:10:00,2023,2023-03-26 13:10:00,Round 2,34275,10,Full Time,100,+11:00,0,2023-03-26 15:41:25,16,37,Sydney,17,13,Hawthorn,1679796600
Perth Stadium,16,West Coast,17.0,2,11,100,0,2023-03-26 18:20:00,2023,2023-03-26 15:20:00,Round 2,34277,9,Full Time,100,+11:00,0,2023-03-26 21:00:14,17,81,West Coast,14,15,Greater Western Sydney,1679815200
Docklands,11,Western Bulldogs,15.0,2,14,41,0,2023-03-25 19:25:00,2023,2023-03-25 19:25:00,Round 2,34273,15,Full Time,100,+11:00,0,2023-03-25 21:55:48,18,92,St Kilda,5,8,St Kilda,1679732700
M.C.G.,15,Collingwood,4.0,3,7,63,0,2023-03-31 19:50:00,2023,2023-03-31 19:50:00,Round 3,34279,14,Full Time,100,+11:00,0,2023-03-31 22:26:24,4,49,Collingwood,8,7,Richmond,1680252600
Perth Stadium,12,Fremantle,6.0,3,9,108,0,2023-04-02 17:20:00,2023,2023-04-02 15:20:00,Round 3,34286,17,Full Time,100,+10:00,0,2023-04-02 20:04:15,6,67,Fremantle,16,13,West Coast,1680420000
Carrara,13,Gold Coast,8.0,3,7,73,0,2023-04-02 14:10:00,2023,2023-04-02 14:10:00,Round 3,34284,7,Full Time,100,+10:00,0,2023-04-02 16:39:55,8,54,Gold Coast,10,12,Geelong,1680408600
Sydney Showground,10,Greater Western Sydney,3.0,3,9,64,0,2023-04-01 16:35:00,2023,2023-04-01 16:35:00,Round 3,34281,3,Full Time,100,+11:00,0,2023-04-01 19:11:43,9,74,Carlton,9,20,Carlton,1680327300
York Park,14,Hawthorn,10.0,3,9,80,0,2023-04-01 13:45:00,2023,2023-04-01 13:45:00,Round 3,34280,12,Full Time,100,+11:00,0,2023-04-01 16:12:29,10,61,Hawthorn,11,7,North Melbourne,1680317100
M.C.G.,8,Melbourne,11.0,3,12,134,0,2023-04-02 15:20:00,2023,2023-04-02 15:20:00,Round 3,34285,16,Full Time,100,+10:00,0,2023-04-02 17:57:56,11,84,Melbourne,21,12,Sydney,1680412800
Adelaide Oval,8,Port Adelaide,1.0,3,18,86,0,2023-04-01 19:30:00,2023,2023-04-01 19:00:00,Round 3,34283,1,Full Time,100,+11:00,0,2023-04-01 22:17:21,13,117,Adelaide,13,9,Adelaide,1680337800
M.C.G.,8,St Kilda,15.0,3,11,92,0,2023-04-01 19:25:00,2023,2023-04-01 19:25:00,Round 3,34282,5,Full Time,100,+11:00,0,2023-04-01 22:04:05,15,74,St Kilda,14,8,Essendon,1680337500
Docklands,7,Western Bulldogs,18.0,3,7,67,0,2023-03-30 19:20:00,2023,2023-03-30 19:20:00,Round 3,34278,2,Full Time,100,+11:00,0,2023-03-30 21:52:17,18,53,Western Bulldogs,10,11,Brisbane Lions,1680164400
Adelaide Oval,9,Adelaide,1.0,4,10,111,0,2023-04-08 13:45:00,2023,2023-04-08 13:15:00,Round 4,34289,6,Full Time,100,+10:00,0,2023-04-08 16:23:39,1,72,Adelaide,17,12,Fremantle,1680925500
Gabba,8,Brisbane Lions,2.0,4,11,116,0,2023-04-06 19:35:00,2023,2023-04-06 19:35:00,Round 4,34287,4,Full Time,100,+10:00,0,2023-04-06 22:18:31,2,83,Brisbane Lions,18,17,Collingwood,1680773700
Docklands,22,Essendon,5.0,4,11,88,0,2023-04-09 14:10:00,2023,2023-04-09 14:10:00,Round 4,34293,9,Full Time,100,+10:00,0,2023-04-09 16:44:03,5,75,Essendon,11,9,Greater Western Sydney,1681013400
M.C.G.,13,Geelong,7.0,4,6,127,0,2023-04-10 15:20:00,2023,2023-04-10 15:20:00,Round 4,34295,10,Full Time,100,+10:00,0,2023-04-10 17:56:54,7,45,Geelong,19,9,Hawthorn,1681104000
Docklands,18,North Melbourne,3.0,4,16,84,0,2023-04-07 16:20:00,2023,2023-04-07 16:20:00,Round 4,34288,3,Full Time,100,+10:00,0,2023-04-07 19:00:15,12,107,Carlton,11,11,Carlton,1680848400
M.C.G.,12,Richmond,18.0,4,12,84,0,2023-04-08 16:35:00,2023,2023-04-08 16:35:00,Round 4,34290,18,Full Time,100,+10:00,0,2023-04-08 19:08:41,14,89,Western Bulldogs,12,17,Western Bulldogs,1680935700
Docklands,11,St Kilda,15.0,4,8,113,0,2023-04-08 19:30:00,2023,2023-04-08 19:30:00,Round 4,34291,8,Full Time,100,+10:00,0,2023-04-08 22:11:50,15,60,St Kilda,17,12,Gold Coast,1680946200
S.C.G.,10,Sydney,13.0,4,9,64,0,2023-04-08 19:30:00,2023,2023-04-08 19:30:00,Round 4,34292,13,Full Time,100,+10:00,0,2023-04-08 22:12:57,16,66,Port Adelaide,9,12,Port Adelaide,1680946200
Perth Stadium,9,West Coast,11.0,4,19,63,0,2023-04-09 17:20:00,2023,2023-04-09 15:20:00,Round 4,34294,11,Full Time,100,+10:00,0,2023-04-09 20:03:14,17,126,Melbourne,9,12,Melbourne,1681024800
Adelaide Oval,10,Adelaide,1.0,5,9,118,0,2023-04-13 19:40:00,2023,2023-04-13 19:10:00,Round 5,34296,3,Full Time,100,+10:00,0,2023-04-13 22:25:11,1,62,Adelaide,18,8,Carlton,1681378800
Adelaide Hills,20,Brisbane Lions,2.0,5,12,152,0,2023-04-15 13:10:00,2023,2023-04-15 12:40:00,Round 5,34506,12,Full Time,100,+10:00,0,2023-04-15 15:48:46,2,77,Brisbane Lions,22,5,North Melbourne,1681528200
Adelaide Oval,10,Collingwood,4.0,5,9,70,0,2023-04-16 16:50:00,2023,2023-04-16 16:20:00,Round 5,34511,15,Full Time,100,+10:00,0,2023-04-16 19:21:18,4,64,Collingwood,10,10,St Kilda,1681627800
Adelaide Oval,14,Essendon,5.0,5,11,104,0,2023-04-15 16:10:00,2023,2023-04-15 15:40:00,Round 5,34300,11,Full Time,100,+10:00,0,2023-04-15 18:45:47,5,77,Essendon,15,11,Melbourne,1681539000
Norwood Oval,10,Fremantle,6.0,5,13,100,0,2023-04-14 17:10:00,2023,2023-04-14 16:40:00,Round 5,34297,8,Full Time,100,+10:00,0,2023-04-14 19:49:15,6,90,Fremantle,15,12,Gold Coast,1681456200
Adelaide Oval,10,Geelong,7.0,5,13,136,0,2023-04-16 13:10:00,2023,2023-04-16 12:40:00,Round 5,34302,17,Full Time,100,+10:00,0,2023-04-16 15:56:21,7,89,Geelong,21,11,West Coast,1681614600
Norwood Oval,17,Greater Western Sydney,9.0,5,11,77,0,2023-04-16 15:20:00,2023,2023-04-16 14:50:00,Round 5,34510,10,Full Time,100,+10:00,0,2023-04-16 17:54:34,9,75,Greater Western Sydney,10,9,Hawthorn,1681622400
Adelaide Oval,10,Port Adelaide,13.0,5,8,70,0,2023-04-15 19:50:00,2023,2023-04-15 19:20:00,Round 5,34301,18,Full Time,100,+10:00,0,2023-04-15 22:23:11,13,56,Port Adelaide,10,8,Western Bulldogs,1681552200
Adelaide Oval,12,Richmond,16.0,5,18,78,0,2023-04-14 20:10:00,2023,2023-04-14 19:40:00,Round 5,34505,16,Full Time,100,+10:00,0,2023-04-14 22:54:41,14,122,Sydney,11,14,Sydney,1681467000
Docklands,12,Carlton,15.0,6,12,60,0,2023-04-23 15:20:00,2023,2023-04-23 15:20:00,Round 6,34310,15,Full Time,100,+10:00,0,2023-04-23 17:54:55,3,82,St Kilda,8,10,St Kilda,1682227200
M.C.G.,12,Collingwood,4.0,6,11,90,0,2023-04-25 15:20:00,2023,2023-04-25 15:20:00,Round 6,34313,5,Full Time,100,+10:00,0,2023-04-25 17:59:39,4,77,Collingwood,13,11,Essendon,1682400000
Perth Stadium,9,Fremantle,18.0,6,17,69,0,2023-04-21 20:10:00,2023,2023-04-21 18:10:00,Round 6,34305,18,Full Time,100,+10:00,0,2023-04-21 22:52:15,6,118,Western Bulldogs,10,16,Western Bulldogs,1682071800
